Words,Reading,Meaning,Type,S1,S2,S3,W1,W2,W3
彼は大群衆に向かって演説を始めた,かれはだいぐんしゅうにむかってえんぜつをはじめた,He faced the large crowd and began to make a speech.,,,,,,,
駅に向かってるとこだよ,えきにむかってるとこだよ,I'm on my way to the station.,,,,,,,
彼は私に向かってくる,かれはわたしにむかってくる,He comes to me.,,,,,,,
今向かってます,いまむかってます,I'm heading over there now.,,,,,,,
右を向いてください,みぎをむいてください,Turn to the right.,,,,,,,
この服は寒い冬の日には向かない,このふくはさむいふゆのひはむかない,These clothes are not appropriate for a cold winter day.,,,,,,,
公園の方に足を向けた,こうえんのほうにあしをむけた,I walked toward the park.,,,,,,,
彼はその絵に目を向けた,彼はそのえにめをむけた,He turned his attention to the picture.,,,,,,,
彼に背中を向ける,かれにせなかをむける,Turn one's back on him.,,,,,,,
銃を彼に向ける,じゅうをかれにむける,Aim one's gun at him.,,,,,,,
こっちに顔を向けなさい,こっちにかおをむけなさい,Turn your face this way,,,,,,,
ふさわしい講座をお選びいただくために,ふさわしいこうざをおえらびいただくために,To help you choose the right course,,,,,,,
出てくるかな？,,Do you think it'll come out?,,,,,,,
納豆はさすがに探しても売ってませんでしたね,,"Natto is not sold, even though I looked for it.",,,,,,,
アメリカでも日本酒は人気出てきてるよ,,Sake is becoming more and more popular in the US.,,,,,,,
日本食食べたくなりますからね,,It makes me want to eat Japanese food.,,,,,,,
お味噌汁飲みたい,,I want to drink miso soup.,,,,,,,
お寿司食べたい,おすしたべたい,I want to eat sushi.,,,,,,,
恋しくなるんですよ,こいしくなるんですよ,I miss it!,,,,,,,
時代は変わってきてるんですかね,,"Times are changing, aren't they?",,,,,,,
探せばあるんでしょうけどね,,I'm sure it's out there if you look for it.,,,,,,,
サーモンを出して頂いて,,They served me salmon.,,,,,,,
マスクを着用し,,Wear a mask.,,,,,,,
日光鬼怒川スパホテル三日月 さんに宿泊いたします,,We will stay at Nikko Kinugawa Spa Hotel Mikazuki.,,,,,,,
では早速館内を散策してみましょう,ではさっそくかんないをさんさくしてみましょう,Let's take a walk around the building at once,,,,,,,
ではテラスに出てみます,,I'll go out on the terrace.,,,,,,,
こちらは水盤テラスです,,This is the water table terrace.,,,,,,,
では早速座布団をしいて,,"Now, let's put the cushions on.",,,,,,,
足湯を利用したいと思います,,I'd like to use the footbath.,,,,,,,
早速足湯に浸かってみます,,I'm going to take a soak in the footbath right away.,,,,,,,
疲れが癒されました,,My fatigue was relieved.,,,,,,,
エレベーターを使って７階まで 上がります,,Take the elevator up to the seventh floor.,,,,,,,
お部屋に到着しました,,We've arrived at our room.,,,,,,,
では早速開けてみたいと思います,,"Now, I'd like to open it right away.",,,,,,,
窓からの眺めはこんな感じです,,Here's the view from the window.,,,,,,,
鬼怒川駅方面が見える感じですね,,You can see the direction of Kinugawa Station.,,,,,,,
はいもうちょっと探検していきます,はいもうちょっとたんけんしていきます,"Yes, I'll explore some more.",,,,,,,
行き合う,ikiau,To meet by coincidence while one is out.,intr.,私は昔の友達とばったり行き合った,I happened to run into an old friend.,N1 ga N2 to/ni ikiau,,,
請け合う,ukeau,To guarantee that something is certain,tr.,彼の人柄は、私が請け合います,I can vouch for his character.,N1 ga N2 o ukeau,,,
請け合う,ukeau,To accept with responsibility.,tr.,できない仕事を請け合ってはいけません,We must not accept any work that we cannot do,N1 ga N2 o ukeau,,,
打ち合う,uchiau,To strike each other.,vol. intr.,剣士は互いに打ち合った,The kendoka struck each other.,N1 ga N2 to uchiau,,,
押し合う,oshiau,To push each other.,tr.,子供たちは押し合った,The children pushed each other.,N1 ga N2 o oshiau,,,
落ち合う,ochiau,To make an arrangement ahead of time and get together at a certain place.,vol. intr.,私は友達と駅で落ち合った,I met up with my friend at the station.,N1 ga N2 to N3 de ochiau,,,
折り合う,oriau,"When two parties have different opinions, for both to bend and compromise.",intr.,両者の条件がようやく折り合った,The two parties finally found a way to accommodate each other’s conditions,N1 ga oriau,,,
関わり合う,kakawariau,To have a relationship.,vol. intr.,私は．あの人と関わり合いたくない, don't want to have anything to do with that person.,N1 ga N2 to/ni kakawariau,,,
掛け合う,kakeau,To negotiate with the other person.,vol. intr.,,,,,,
語り合う,katariau,To tell each other.,tr.,,,,,,
絡み合う,karamiau,To become entangled with each other.,intr.,,,,,,
切り合う,kiriau,To fight each other and attempt to cut each other down.,vol. intr.,,,,,,
混み合う,komiau,to be crowded because many people are gathered.,intr.,,,,,,
差し合う,sashiau,To come into conflict. To battle each other.,intr.,,,,,,
知り合う,shiriau,To get to know each other and start interacting.,intr.,,,,,,
攻め合う,semeau,To attack each other.,vol. intr.,,,,,,
競り合う,seriau,To compete and try to obtain.,tr.,,,,,,
立ち合う,tachiau,To compete. To dispute.,vol. intr.,,,,,,
抱き合う,dakiau,To hug each other.,intr.,,,,,,
通じ合う,tsuujiau,To be understandable to each other.,intr.,,,,,,
付き合う,tsukiau,To be dating (someone).,vol. intr.,,,,,,
付き合う,tsukiau,To accompany someone in his or her activities in order to maintain a social relationship.,vol. intr.,私は彼と付き合っている,I'm dating him.,,,,
釣り合う,tsuriau,"For two (or more) things to go well together, not biased to one side. To be balanced.",intr.,彼らは食事に付き合った,They shared a meal with me.,,,,
溶け合う,tokeau,To melt and become one.,intr.,,,,,,
取り合う,toriau,To grasp each other's hands.,tr.,,,,,,
取り合う,toriau,For several people to fight over one thing.,tr.,,,,,,
殴り合う,naguriau,To punch each other.,vol. intr.,,,,,,
握り合う,nigiriau,To hold mutually.,tr.,,,,,,
睨み合う,niramiau,To glare at each other.,intr.,,,,,,
張り合う,hariau,"To be in competition, with neither person willing to lose.",vol. intr.,,,,,,
引き合う,hikiau,To pull at each other.,intr.,磁石のＮ極とＳ極が引き合う．,The north and south poles of magnets are attracted to each other.,,,,
引き合う,hikiau,To have profit from a deal.,intr.,この仕事は採算的に引き合わない,This job just does not pay.,,,,
触れ合う,fureau,To touch each other. To interact familiarly.,intr.,,,,,,
ぶつかり合う,butsukariau,For two things to collide with great momentum.,intr.,,,,,,
混ざり合う,mazariau,"To mix together. ""Majiri au"" is more common.",intr.,,,,,,
混じり合う,majiriau,To mix with each other and become one. To mingle.,intr.,,,,,,
向かい合う,mukaiau,To face each other's fronts.,vol. intr.intr.,,,,,,
向き合う,mukiau,To face each other,vol. intr.,,,,,,
巡り合う,meguriau,To meet unexpectedly (that which one has sought after for a long time).,intr.,,,,,,
揉み合う,momiau,To shove each other with neither compromising.,vol. intr.,,,,,,
やり合う,yariau,To dispute with each other.,vol. intr.,,,,,,
行き合う,yukiau,To meet by coincidence while one is out.,intr.,,,,,,
譲り合う,yuzuriau,To give to each other.,tr.,,,,,,
寄せ合う,yoseau,To bring together mutually.,tr.,,,,,,
寄り合う,yoriau,To gather (come together) in one place.,vol. intr.,,,,,,
論じ合う,ronjiau,To discuss with each other.,tr.,,,,,,
分かち合う,wakachiau,To share with one another. To share.,tr.,,,,,,
分かり合う,wakariau,To understand each other.,tr.,,,,,,
分け合う,wakeau,To share with each other.,tr.,,,,,,
渡り合う,watariau,"To dispute with (an adversary), debate heatedly.",vol. intr.,,,,,,
組み合わせる,kumiawaseru,To put together several things and make one unit,tr.,和風と洋風を組み合わせた建物,A building that combines Japanese and European elements,,,,
埋め合わせる,umeawaseru,"To balance the books by making up the deficits, to make amends, to compensate for",tr.,彼は借金で赤字を埋め合わせた,He borrowed money to cover his deficits,,,,
ない,,"do not, will not (informal negative)",Vneg.+,日本語が分からない,I don't understand Japanese,⚭ Vn + nai → Vnai,,,
ない,,"do not, will not (informal negative)",Vneg.+,日本食は食べないです,I don't eat Japanese food,⚭ Vn + nai → Vnai,,,
ない,,"do not, will not (informal negative)",Vneg.+,お金がないです,I have no money,⚭ aru → nai,,,
ないで,,"without doing, without having done",Vneg.+,宿題をしないで学校に出かけてしまいました,I left for school without doing my homework,⚭ Vn + naide → Vnaide,,,
ないでください,,please don’t (negative request),Vneg.+,ここでタバコを吸わないでください,Please don't smoke in here,⚭ Vn + naide kudasai → Vnaide kudasai,,,
なかった,,in-formal past negative,Vneg.+,英語がわらなかった,I didn't understand English,⚭ Vn + nakatta → Vnakatta,,,
なかった,,in-formal past negative,Vneg.+,お友達は昨日来なかったです,Your friend didn't show up yesterday,⚭ Vn + nakatta → Vnakatta,,,
なかった,,in-formal past negative,Vneg.+,お金がなかったです,I didn't have any money,⚭ Vn + nakatta → Vnakatta,,,
なかったら,,if/when (i) don’t (conditional negative),Vneg.+,行かなかったらお母さんは怒るでしょう,Your mother will be very angry if you don't go,⚭ Vn + nakatta → Vnakattara,,,
なかったら,,if/when (i) don’t (conditional negative),Vneg.+,お金がなかったら困ると思います,I think I'd be in trouble if I didn't have the money,⚭ aru → nakattara,,,
なければ,,if (i) don’t  (conditional negative),Vneg.+,聞かなければ分かりません,You won’t know if you don’t ask,⚭ Vn + nakereba → Vnakereba,,,
なければ,,if (i) don’t  (conditional negative),Vneg.+,お友達が来なければ電話をしてください,"If your friend doesn't show up, give us a call",⚭ Vn + nakereba → Vnakereba,,,
なければ,,if (i) don’t  (conditional negative),Vneg.+,お金がなければ困ります,"If you don't have money, you're in trouble",⚭ aru → nakereba,,,
なければなりません,,"must, have to (obligation)",Vneg.+,帰らなければなりません,I have to go back,⚭ Vn + nakereba narimasen → Vnakereba narimasen,,,
なければいけません,,"must, have to (obligation)",Vneg.+,毎日学校に行かなければいけません,I have to go to school every day,⚭ Vn + nakereba ikemasen → Vnakereba ikemasen,,,
なければだめです,,"must, have to (obligation)",Vneg.+,宿題をしなければだめだった,I had to do my homework,⚭ Vn + nakereba dame desu → Vnakereba dame desu,,,
なければなりません,,"must, have to (obligation)",Vneg.+,お金がなければなりません,You have to have money,⚭ aru → nakereba narimasen,,,
なくて,,"without doing, not doing (te-form of nai)",Vneg.+,お客さんが来なくてどうしますか,"If your guest does not come, What will you do?",⚭ Vn + nakute → Vnakute,,,
なくて,,not this but that (te-form of nai),Vneg.+,手紙を書かなくて電話をしました,"I didn’t write a letter, I telephoned",⚭ Vn + nakute → Vnakute,,,
なくて,,"without doing, not doing (te-form of nai)",Vneg.+,お金がなくて買いませんでした,"I didn't have any money, (so) I didn’t buy",⚭ aru → nakute,,,
なくても,,even if (i) don’t,Vneg.+,会社に行かなくても仕事があります,"Even if I don’t go to the company, I still have to work",⚭ Vn + nakute mo → Vnakute mo,,,
なくても,,even if (i) don’t,Vneg.+,車がなくても行かなかればなりません,"Even if you don’t have a car, you have to go",⚭ aru → nakute mo,,,
なくてもいい,,it’s ok not to,Vneg.+,わさびを食べなくてもいいです,It’s ok not to eat wasabi,⚭ Vn + nakute mo ii (desu) → Vnakute mo ii (desu),,,
なくてもいい,,it’s ok not to,Vneg.+,車がなくてもいいです,It’s ok not to have a car,⚭ aru → nakute mo ii (desu),,,
なくていけません,,"must, have to (obligation)",Vneg.+,3時に薬を飲まなくてはいけません,I have to take medicine at 3:00,⚭ Vn + nakute (wa) ikemasen → Vnakute (wa) ikemasen,,,
なくてなりません,,"must, have to (obligation)",Vneg.+,毎日学校に行かなくてはなりません,I have to go to school every day,⚭ Vn + nakute (wa) narimasen → Vnakute (wa) narimasen,,,
なくてだめです,,"must, have to (obligation)",Vneg.+,お父さんも来なくてはだめです,Your father has to come too,⚭ Vn + nakute (wa) dame desu → Vnakute (wa) dame desu,,,
なくていけません,,"must, have to (obligation)",Vneg.+,電話がなくてはいけません,You have to have a phone,⚭ aru + nakute (wa) ikemasen,,,
ないといけません,,"must, have to (obligation)",Vneg.+,宿題をしないといけません,I have to do my homework,⚭ Vn + naito ikemasen → Vnaito ikemasen,,,
ないとだめです,,"must, have to (obligation)",Vneg.+,毎日学校に行かないとだめです,You have to go to school every day,⚭ Vn + naito dame desu → Vnaito dame desu,,,
なきゃ,,"must, have to (obligation)",Vneg.+,ご飯を食べなきゃ,I have to eat,⚭ Vn + nakya → Vnakya,,,
なくちゃ,,"must, have to (obligation)",Vneg.+,勉強しなくちゃ,I have to study,⚭ Vn + nakucha → Vnakucha,,,
ないと,,"must, have to (obligation)",Vneg.+,学校に行かないと,I have to go to school,⚭ Vn + naito → Vnaito,,,
られる,,(I) get/got/done by someone (passive form),Vneg.+,財布は泥棒に盗まれました,My wallet was stolen by a thief,⚭ Vn + reru/rareru → Vreru/rareru,,,
られる,,(I) get/got/done by someone (passive form),Vneg.+,彼はみんなに知られています,He is known by everyone,⚭ Vn + reru/rareru → Vreru/rareru,,,
られる,,(I) get/got/done by someone (passive form),Vneg.+,先生に質問されました,I was asked a question by the teacher,⚭ Vn + reru/rareru → Vreru/rareru,,,
られる,,(I) get/got/done by someone (passive form),Vneg.+,パンが誰かに食べられた,The bread was eaten by somebody,⚭ Vn + reru/rareru → Vreru/rareru,,,
られる,,(I) get/got/done by someone (passive form),Vneg.+,見られた！,Someone saw me,⚭ Vn + reru/rareru → Vreru/rareru,,,
られる,,(I) get/got/done by someone (passive form),Vneg.+,この本は多くの人に読まれている,This book is being read by a large number of people,⚭ Vn + reru/rareru → Vreru/rareru,,,
られる,,(I) get/got/done by someone (passive form),Vneg.+,窓は田中さんに開けられた,The window was opened by Mr. Tanaka,⚭ Vn + reru/rareru → Vreru/rareru,,,
られる,,(I) get/got/done by someone (passive form),Vneg.+,田中さんに窓を開けられた,Mr. Tanaka opened the window,⚭ Vn + reru/rareru → Vreru/rareru,,,
られる,,(I) get/got/done by someone (passive form),Vneg.+,田中さんに家を建てられた,Mr. Tanaka built a house,⚭ Vn + reru/rareru → Vreru/rareru,,,
られる,,(I) get/got/done by someone (passive form),Vneg.+,外国人に質問を聞かれた,I was asked a question by a foreigner,⚭ Vn + reru/rareru → Vreru/rareru,,,
られる,,(I) get/got/done by someone (passive form),Vneg.+,彼女に料理がまずかったって言われた,She told me that the food was bad,⚭ Vn + reru/rareru → Vreru/rareru,,,
られる,,(I) get/got/done by someone (passive form),Vneg.+,お母さんに変だと言われます,I am told by my mother that I am strange,⚭ Vn + reru/rareru → Vreru/rareru,,,
される,,(I) get/got/done by someone (passive form),Vneg.+,ネタバレされた,Someone spoiled (the story),⚭ suru → sareru,,,
される,,(I) get/got/done by someone (passive form),Vneg.+,彼女に浮気された,She cheated on me (and I’m upset),⚭ suru → sareru,,,
される,,Let made someone do (causative form),Vneg.+,先生が学生に宿題をたくさんさせた,Teacher made students do lots of homework,⚭ Vn + seru/saseru → Vseru/saseru,,,
させてあげる,,I let someone do (causative form),Vneg.+,私は田中さんに運転させてあげる,I let Mr. Tanaka to drive,⚭ Vn + sete/sasete + ageru → Vsete/sasete ageru,,,
させてくれる,,Someone let me do (causative form),Vneg.+,田中さんは私に運転させてくれる,Mr. Tanaka let me drive,⚭ Vn + sete/sasete + kureru → Vsete/sasete kureru,,,
させてもらう,,I have/had someone to let me do (causative form),Vneg.+,私は田中さんに運転させてもらう,I have Mr. Tanaka to let me drive,⚭ Vn + sete/sasete + morau → Vsete/sasete morau,,,
させられる,,I got made do it/someone made to do it (causative-passive form),Vneg.+,朝ご飯は食べたくなかったのに、食べさせられた,"Despite not wanting to eat breakfast, I was made to eat it",⚭ Vn + serareru/saserareru → Vserareru/saserareru,,,
ずに,,without doing ,Vneg.+,明日忘れずに彼に会って下さい,Don't forget to see him tomorrow,⚭ Vn + zuni → Vzuni,,,
ずにはいられない,,can’t help but do,Vneg.+,彼女を愛さずにはいられないなあ,I can't help but love her,⚭ Vn + zuni wa irarenai → Vzuni wa irarenai,,,
あがる,,"do upwards, be finished",Vnoun.+,お湯入れて出来上がります,Add hot water and you're ready to go,⚭ Vnn + agaru → Vagaru,,,
あげる,,"do for someone, do upwards, finish doing (transitive)",Vnoun.+,仕事を仕上げれば帰ってもいいです,You can go home if you finish your work,⚭ Vnn + ageru → Vageru,,,
だす,,"do suddenly, suddenly starts doing",Vnoun.+,小鳥はパッと飛び出しました,The little bird took off in a flash,⚭ Vnn + dasu → Vdasu,,,
はじめる,,begin doing,Vnoun.+,もう遅いですから勉強し始めなくてはいけません,"Since it’s late, I have to start studying",⚭ Vnn + hajimeru → Vhajimeru,,,
かた,,"way/method of doing, how to  (verb to noun)",Vnoun.+,,,⚭ Vnn + kata → Vkata,,,
こむ,,do in / into,Vnoun.+,,,⚭ Vnn + komu → Vkomu,,,
ます,,normal polite present/future form,Vnoun.+,,,⚭ Vnn + masu → Vmasu,,,
ました,,normal polite past form,Vnoun.+,,,⚭ Vnn + mashita → Vmashita,,,
ません,,normal polite present/future negative form,Vnoun.+,,,⚭ Vnn + masen → Vmasen,,,
ませんでした,,normal polite past negative form,Vnoun.+,,,⚭ Vnn + masen deshita → Vmasen deshita,,,
ましょう,,"normal polite inclusive command, let’s …",Vnoun.+,,,⚭ Vnn + mashou → Vmashou,,,
ましょうか,,"normal polite inclusive query, shall we …",Vnoun.+,,,⚭ Vnn + mashou ka → Vmashou ka,,,
ながら,,while doing ,Vnoun.+,,,⚭ Vnn + nagara → Vnagara,,,
なさい,,abrupt command,Vnoun.+,,,⚭ Vnn + nasai → Vnasai,,,
にいく,,go somewhere to do,Vnoun.+,,,⚭ Vnn + ni iku→ Vni iku,,,
にくる,,come somewhere to do,Vnoun.+,,,⚭ Vnn + ni kuru → Vni kuru,,,
にくい,,difficult to (creates a true adjective),Vnoun.+,,,⚭ Vnn + nikui → Vnikui,,,
おわる,,finish doing,Vnoun.+,,,⚭ Vnn + owaru → Vowaru,,,
そう,,"appears to be about to, looks like",Vnoun.+,,,⚭ Vnn + sou (desu) → Vsou (desu),,,
すぎる,,do too much,Vnoun.+,,,⚭ Vnn + sugiru → Vsugiru,,,
たがる,,"want to, wish to",Vnoun.+,,,⚭ Vnn + tagaru → Vtagaru,,,
たい,,want to,Vnoun.+,,,⚭ Vnn + tai (desu) → Vtai (desu),,,
たかった,,wanted to,Vnoun.+,,,⚭ Vnn + takatta → Vtakatta,,,
たくない,,don’t want to,Vnoun.+,,,⚭ Vnn + takunai → Vtakunai,,,
たかくなかった,,didn’t wanted to,Vnoun.+,,,⚭ Vnn + takunakatta → Vtakunakatta,,,
つずける,,continue doing,Vnoun.+,,,⚭ Vnn + tsuzukeru → Vtzusukeru,,,
やすい,,easy to (creates a true adjective),Vnoun.+,フォークは使いやすいです,The fork is easy to use,⚭ Vnn + yasui → Vyasui,,,
ほど,,"to the extent, so much that",Vdict.+,おじさんは捨てるほどお金を持っています,Uncle has money to throw away extensively,⚭ Vdict・Vru + hodo,,,
かぎり,,"to the extent that, in so far as, within the limits of",Vdict.+,できるかぎり、努力します,I will try to the extent that it is possible,⚭ Vdict・Vru + kagiri,,,
かわりに,,"instead of, in place of, in exchange for",Vdict.+,行くかわりに電話をしました,I phoned instead of going,⚭ Vdict・Vru + kawari (ni),,,
気がある,,"be of a mind to, to have a mind to",Vdict.+,テニスをする気があれば、一緒にしましょうか,"If you’re a mind to play tennis, shall we play together",⚭ Vdict・Vru + ki ga aru,,,
気がする,,"feel like doing, willing to do",Vdict.+,今日病気で、仕事をする気がしません,Today I am sick and don’t feel like working,⚭ Vdict・Vru + ki ga suru,,,
気になる,,come to feel like doing,Vdict.+,少しあるきまわると勉強する気になるでしょう,"If you walk around a little, you may come to feel like studying",⚭ Vdict・Vru + ki ni naru,,,
ことがある,,"(ever) do, occasionally do",Vdict.+,時々を寿司を食べることがあります,I eat sushi from time to time,⚭ Vdict・Vru + koto ga aru,,,
ことができる,,"be able to do, can do",Vdict.+,お兄さんはギータを引くことができる,Older brother can play the guitar,⚭ Vdict・Vru + koto ga dekiru,,,
ことになる,,"have been decided, come about",Vdict.+,土曜日にも働くことになりました,"It turns out that I will be working on Saturday, also",⚭ Vdict・Vru + koto ni naru,,,
ようになる,,"reach to a point, to get to a point",Vdict.+,お母さんが病気で病院に行くようになりました,"Mother was sick, so I wound up going to the hospital",⚭ Vdict・Vru + you ni naru,,,
ことにする,,I have decided,Vdict.+,明日東京にい行くことにしました,I decided to go to Tokyo tomorrow,⚭ Vdict・Vru + koto ni suru,,,
ようにする,,try to do,Vdict.+,やはり社長さんと話すようにしました,He decided to speak with the company president after all,⚭ Vdict・Vru + you ni suru,,,
まで,,until (I) do,Vdict.+,新しいのを買うまで、これを使って下さい,Please use this until I buy a  new one,⚭ Vdict・Vru + made,,,
までに,,by the time (I) do,Vdict.+,お客さんが来るまでに、できあがると思います,I think it will be finished by the time the guests come,⚭ Vdict・Vru + made ni,,,
まえに,,before doing,Vdict.+,帰る前におお店によって下さい,Please go by the store before coming home,⚭ Vdict・Vru + mae (ni),,,
もの,,thing,Vdict.+,食べるものはありませんか,Don’t you have anything to eat,⚭ Vdict・Vru + mono,,,
な,,don’t do (abrupt negative command),Vdict.+,忘れるな,Don't forget,⚭ Vdict・Vru + na,,,
ために,,"in order to, so that, for the sake of, because of",Vdict.+,子供がわかるためにはっきりと説明して下さい,"In order for the children to understand, please explain clearly",⚭ Vdict・Vru + tame (ni),,,
と,,if (I) do,Vdict.+,東京によると友達にわあなくてはなりません,"If you stop by Tokyo, you must see my friend",⚭ Vdict・Vru + to,,,
とちゅう,,"be en route, on the way",Vdict.+,今会社へ行く途中です,I en route to the company now,⚭ Vdict・Vru + tochuu (desu),,,
ところ,,be about to,Vdict.+,今ちょっと出かけるところです,We are about to go out now,⚭ Vdict・Vru + tokoro (desu),,,
としたら,,If (I) were to (emphatic conditional),Vdict.+,車を買うとしたら、どんなものがいいかしら,"If we were to buy a car, what kind would be best",⚭ Vdict・Vru + to shitara,,,
とすれば,,If (I) were to (emphatic conditional),Vdict.+,お友達が来るとすれば、五月でしょう,"If your friend does come, It will probably be in May",⚭ Vdict・Vru + to sureba,,,
とすると,,If (I) were to (emphatic conditional),Vdict.+,もしハワイいに止まるとすると一晩だけでしょう,"If we do stop in Hawaii, I will probably be only one night",⚭ Vdict・Vru + to suru to,,,
としても,,even if,Vdict.+,お母さんに聞くとしても、お父さんが賛成しないと思います,"Even if we ask Mother, I think Father will not approve",⚭ Vdict・Vru + to shite mo,,,
つもり,,intend to,Vdict.+,明日電車で行くつもりです,I intend  to go by train tomorrow,⚭ Vdict・Vru + tsumori (desu),,,
ように,,in order to,Vdict.+,明日出かけられるように準備しています,I am preparing to be able to depart tomorrow,⚭ Vdict・Vru + you ni,,,
よてい,,plan to,Vdict.+,明日テニスをする予定です,I plan to play tennis tomorrow,⚭ Vdict・Vru + yotei (desu),,,
せよ,,abrupt command,Vcmd.+,勉強せよ,Study!,⚭ suru → seyo,,,
やれ,,abrupt command,Vcmd.+,やれ,Do!,⚭ yaru → yare,,,
こい,,abrupt command,Vcmd.+,来い,Come!,⚭ kuru → koi,,,
ば,,if/when (i) do (conditional),Vcmd.+,急げば間に合います,"If we hurry, we can make it",⚭ Vcmd + ba → Vba,,,
ば,,if/when (i) do (conditional),Vcmd.+,アイスクリームは少しだけ食べればいいです,"If you only eat a little ice cream, it’s okay",⚭ Vcmd + ba → Vba,,,
ばよかった,,"should have done, wish to do",Vcmd.+,早く食べればよかったです,I should have eaten sooner,⚭ Vcmd + ba yokatta (desu),,,
すればよかった,,"should have done, wish to do (kuru: kureba, suru: sureba)",Vcmd.+,勉強すればよかったです,I should have studied,⚭ suru → sureba yokatta (desu),,,
くればよかった,,"should have done, wish to do (kuru: kureba, suru: sureba)",Vcmd.+,早く来ればよかったです,I should have come earlier,⚭ kuru → kureba yokatta (desu),,,
えます,,potential form ( group 1 verbs: yodan),Vcmd.+,日本語が読めますか,Can you read Japanese?,⚭ Vcmd + ru → Vpot,,,
えます,,potential form ( group 1 verbs: yodan),Vcmd.+,日本語が話せますか,Can you speak Japanese?,⚭ Vcmd + ru → Vpot,,,
える,,potential form ( group 1 verbs: yodan),Vcmd.+,日本語が読める？,Can you read Japanese?,⚭ Vcmd + ru → Vpot,,,
える,,potential form ( group 1 verbs: yodan),Vcmd.+,日本語が話せる？,Can you speak Japanese?,⚭ Vcmd + ru → Vpot,,,
られる,,potential form ( group 2 verbs: ichidan),Vcmd.+,辛いものは食べられますか？,Can you eat spicy food?,⚭ Vcmd + rareru → Vpot,,,
できる,,potential form ( suru: dekiru),Vcmd.+,静かに勉強できますか？,Can you study quietly?,⚭ suru → dekiru,,,
できる,,potential form ( suru: dekiru),Vcmd.+,お手洗いをちょっとお借りできますか,Can I use your restroom for a moment?,⚭ suru → dekiru,,,
できる,,potential form ( suru: dekiru),Vcmd.+,わたしはにほんごをはなすことができる,I can speak Japanese.,⚭ suru → dekiru,,,
くれる,,potential form ( kuru: kureru),Vcmd.+,明日は来れるかな？,Can you come tomorrow?,⚭ kuru → kureru,,,
おう,,let’s ..  (informal inclusive command),Vvol.+,もう遅いから帰ろう,"It's late already, Let's go home",⚭ Vvol,,,
よう,,let’s ..  (informal inclusive command),Vvol.+,食べよう,Let's eat.,⚭ Vvol,,,
こよう,,let’s ..  (informal inclusive command),Vvol.+,ビーチに来よう,Let's come to the beach,⚭ kuru → koyou,,,
しよう,,let’s ..  (informal inclusive command),Vvol.+,明日試験ですから勉強しようよ,"We have an exam tomorrow, Let's study",⚭ suru → shiyou,,,
おうか,,shall we ..  (informal inclusive query),Vvol.+,1時半に始めようか,Shall we start at 1:30?,⚭ Vvol + ka,,,
ようか,,shall we ..  (informal inclusive query),Vvol.+,明日また来ようか,Shall we come again tomorrow?,⚭ Vvol + ka,,,
おうとおもう,,i think i will,Vvol.+,今日友達の家に行こうと思います,I think I will go my friend's house today,⚭ Vvol + to omou,,,
おうとおもう,,i think i will,Vvol.+,明日また来ようと思っています,I am thinking I will come again tomorrow,⚭ Vvol + to omou,,,
おうとする,,"be about to, try to, attempt to",Vvol.+,ドアを開けようとしたが鍵がかかっていました,"I tried to open the door, but it was locked",⚭ Vvol + to suru,,,
おうとする,,"be about to, try to, attempt to",Vvol.+,お風呂に入ろうとしたら電話がかかってきた,"When I was about to take a bath, the phone rang",⚭ Vvol + to suru,,,
おうとする,,"be about to, try to, attempt to",Vvol.+,会社からまさに出ようとした時雨が降ってきた,"When I was just about to leave the office, it started to rain",⚭ Vvol + to suru,,,
おうとする,,"be about to, try to, attempt to",Vvol.+,電車に乗ろうとしたときにドアが閉まって乗れなかった,"When I tried to get on the train, the door closed and I couldn't get on",⚭ Vvol + to suru,,,
おうとしている,,"be about to, trying to, attempting to (progressive form)",Vvol.+,先生は授業を始めようとしています,The teacher is about to start class,⚭ Vvol + to shite iru,,,
おうとしている,,"be about to, trying to, attempting to (progressive form)",Vvol.+,警察に電話しようとしています,He is about to call the police,⚭ Vvol + to shite iru,,,
てあげる,,do for someone,Vte.+,地図を書いてあげましょうか,Shall I draw you a map,⚭ Vte + ageru,,,
てやる,,do for someone,Vte.+,友達に見せてやろうと思います,I think I will show it to my friends,⚭ Vte + yaru,,,
てある,,has been done,Vte.+,手紙はもう書いてあります,The letter have already been written,⚭ Vte + aru,,,
てある,,has been done,Vte.+,電気はもう点けてありました,The lights have already been turned on,⚭ Vte + aru,,,
てほしい,,I want someone to do,Vte.+,お母さんに買って欲しいです,I want my mom to buy it,⚭ Vte + hoshii (desu),,,
てほしい,,I want someone to do,Vte.+,野菜を食べて欲しかったです,I wanted you to eat your vegetables,⚭ Vte + hoshii (desu),,,
てほしい,,I want someone to do,Vte.+,見て欲しいものがあります,I want you to see something,⚭ Vte + hoshii (desu),,,
てほしい,,I want someone to do,Vte.+,部屋が散らかっているから片付けてほしい,The room is cluttered so I want you to clean it up,⚭ Vte + hoshii (desu),,,
ていく,,"do and then go, do before going",Vte.+,先生と話して行きましょう,Let’s talk with the teacher and go,⚭ Vte + iku,,,
持っていく,,"take and go, take with you (something)",Vte.+,この本を持って行きます,I will take this book with me,⚭ motte + iku,,,
連れていく,,"take and go, take with you (someone)",Vte.+,映画にいくなのなら妹も連れていきなさい,"If you go to the movies, take your sister with you",⚭ tsurete + iku,,,
