Words,Translation
友達が子供を預かってくれた。,A friend took care of my child.
荷物を受付に預けました。,I left my luggage at the reception desk.
荷物を預ける所は、どこですか。,Where can I leave my luggage?
あそこに預けられますよ。,You can leave them there.
彼らは子供を保育園に預けて働いている。,They leave their children at the nursery and go to work.
鈴木さんは銀行に百万円を預けている。,Mr. Suzuki has one million yen deposited in the bank.
肩がドアにぶつかりました。,My shoulder hit the door.
交差点で車とバイクがぶつかった。,A car and a motorcycle collided at the intersection.
この道は少し先で川とぶつかります。,This road collides with a river a little further on.
山田さんはよく上司とぶつかっている。,Mr. Yamada often bumps into his boss.
去年はクリスマスと日曜日がぶつかった。,"Last year, Christmas and Sunday collided."
足を机の角にぶつけてしまった。,She hit her foot on the corner of the desk.
彼女は車をガードレールにぶつけました。,She hit her car against the guardrail.
転んで、頭を床にぶつけそうになった。,She fell and almost hit her head on the floor.
車を駐車場に止めておいたら、誰かにぶつけられた。,I parked my car in a parking lot and someone hit me.
イライラを人にぶつけるのは、やめてください。,Please don't take your frustration out on people.
あの人は日本人ですか。いいえ、違います。,"Is that person Japanese? No, he's not."
この部屋とあの部屋は大きさが違います。,This room and that room are different in size.
私は彼女と意見が違う。,I have a difference of opinion with her.
電話番号が違いますよ。,Your phone number is different.
習慣は国によって違うものです。,Customs vary from country to country.
いすを机に近づけてください。,Please move your chair closer to the desk.
鈴木さんは仕事中、人を近づけない。,Mr. Suzuki doesn't let people near him when he's working.
彼は顔を窓に近づけて、外を見た。,He put his face close to the window and looked out.
子供をストーブに近づけないでください。,Keep your children away from the stove.
悪い友人を近づけないようにしなさい。,Keep your bad friends away from it.
電車は駅に近づいた。,The train approached the station.
危ないから、その機械に近づいてはいけない。,Don't go near that machine because it's dangerous.
クリスマスが近づくと、街はにぎやかになる。,"As Christmas approaches, the city becomes more lively."
天気予報によると、台風が近づいているそうだ。,"According to the weather forecast, a typhoon is approaching."
彼はひどい風邪をひいているから、近づかないほうがいい。,"He has a bad cold, so he should stay away from it."
子供は熊のぬいぐるみを抱いている。,The child is holding a stuffed bear.
彼は息子を両腕にしっかり抱いた。,He held his son tightly in both arms.
友達の赤ちゃんを抱かせてもらった。,I was allowed to hold my friend's baby.
その男の子は母親に抱かれて、眠ってしまった。,The boy fell asleep in his mother's arms.
彼は大きな夢を抱いて、故郷を出た。,He left his hometown with big dreams.
その男はたくさんの人をだました。,The man cheated a lot of people.
彼らは観光客をだまして、高い物を買わせた。,They tricked the tourists into buying expensive things.
彼はうそが上手で、すっかりだまされてしまった。,He was a good liar and he was completely deceived.
そんな下手な言い訳では、親はだませないでしょう。,You can't fool your parents with such a lame excuse.
彼女をだますつもりはなかった。,I didn't mean to deceive her.
かばんから財布を出しました。,I took my wallet out of my bag.
ごみは朝八時までに出してください。,Please take out the garbage by eight o'clock in the morning.
昨日、母に手紙を出しました。,I sent a letter to my mother yesterday.
このレポートは何日までに出さなければなりませんか。,How many days do I have to submit this report by?
急に雨が降り出しました。,It suddenly started to rain.
出かけましょう。,Let's go out.
加藤さんは買い物に出かけた。,Mr. Kato went out shopping.
日曜日、どこにも出かけませんでした。,I didn't go out anywhere on Sunday.
午後、用事があって、出かけなければならない。,I have to go out in the afternoon for some errands.
先生は六時ごろお出かけになりました。,The doctor went out around six o'clock.
食事の用意ができた。,The meal is ready.
日本語ができますか。,Can you speak Japanese?
女はピアノを弾くことができます。,The woman can play the piano.
申込書は、できるだけ早く出して下さい。,Please submit the application form as soon as possible.
駅の近くに新しいスーパーができたそうです。,I heard that a new supermarket has opened near the station.
森さんは、もう会社を出ましたか。,Has Mr. Mori left the office yet?
三時に会議に出なければならないので、失礼します。,"I have to go to a meeting at three o'clock, so if you'll excuse me."
新聞に地震の記事が出ています。,There's an article about the earthquake in the newspaper.
彼はアメリカの大学を出たそうです。,I heard that he graduated from an American university.
マラソン大会に出るために、毎日走っています。,I run every day to participate in marathons.
どうしてその仕事を選びましたか。,Why did you choose that job?
どうぞお好きな物をお選びください。,Please choose the one you like.
田中さんは議長に選ばれました。,Mr. Tanaka was chosen as the chairman.
毎朝、妹は服を選ぶのに時間がかかる。,"Every morning, my sister takes a long time to choose her clothes."
先生にいい辞書を選んでいただきました。,My teacher chose a good dictionary for me.
日本語の語彙が増えた。,My Japanese vocabulary has increased.
体重が5キロ増えました。,My weight has increased by five kilograms.
世界の人口は増え続けている。,The world's population continues to grow.
最近、電気自動車の数が増えている。,The number of electric cars has been increasing recently.
転職してから収入が増えた。,My income has increased since I changed jobs.
汚いから、机の上をふいて下さい。,Please wipe the top of your desk because it is dirty.
雨でぬれた髪の毛をタオルでふいた。,"I wiped my hair, which was wet from the rain, with a towel."
外は強い風が吹いている。,A strong wind is blowing outside.
田中さんはフルートが吹けます。,Mr. Tanaka can play the flute.
弟は口笛を吹くのが上手だ。,My brother can play the whistle very well.
税金を含めて、三万五千円です。,"Including taxes, it's thirty-five thousand yen."
鈴木さんを含めると、全部で十人になります。,"If you include Mr. Suzuki, there will be ten people in all."
領収書にこの本の代金を含めないでください。,Please don't include the cost of this book in your receipt.
部屋代を含めずに、一日は五千円ぐらいでした。,"Not including the cost of the room, it was about five thousand yen a day."
彼女はかんで含めるように子供に説明した。,She explained to the child to include it in the kan.
この値段には消費税が含まれていますか。,Does this price include the consumption tax?
このあめには砂糖は含まれていません。,This candy does not contain any sugar.
その事件は複雑な問題を含んでいるようだ。,The case seems to involve a complicated issue.
薬を口に含んで、水で流し込んだ。,He put the medicine in his mouth and poured it down with water.
人工の添加物を含まない食品を買うようにしている。,I try to buy foods that don't contain artificial additives.
このボタンに触れると、ドアが開きます,Touch this button to open the door.
展示品に手を触れないで下さい。,Do not touch the exhibits.
その話題には触れないほうがいい。,It is better not to touch that subject.
道でその看板が目に触れた。,I saw that sign on the street.
法に触れるような行為はしたことがない。,I've never done anything against the law.
雪が降っています。,It is snowing.
雨に降られて、びしょぬれです。,It's raining and I'm soaking wet.
彼女は手を振って、さようならと言った。,She waved and said goodbye.
彼は彼女に振られて、落ち込んでいます。,He is depressed because she rejected him.
漢字にかなを振ってくれませんか。,Could you please write the kana for the kanji?
食べ過ぎて、ちょっと太ってしまいました。,I ate too much and got a little fat.
田中さんは太っています。,Tanaka-san is overweight.
これ以上太らないように、運動を始めた,I've started exercising so I won't get any fatter.
もう少し太ったほうがいいですよ。,You should get a little fatter.
彼女は太った猫を飼っている。,She has a fat cat.
もっと日本語の語彙を増やしたい。,I want to increase my Japanese vocabulary more.
学校は日本語のクラスをもう一つ増やしました。,The school has added another Japanese class.
これ以上、仕事を増やさないでください。,Please don't make more work for me.
息子はもっと小遣いを増やしてほしいと言った。,My son asked for more pocket money.
勉強の時間を増やしたほうがいい。,You should have more time to study.
頑張ってください。,Please do your best.
頑張れ。,Work hard.
彼は家族のために頑張って働いている。,He is working hard to provide for his family.
仕事は大変ですが、頑張りたいと思います。,"It's hard work, but I'll do my best."
あきらめずに、最後まで頑張ろう。,Don't give up and work hard until the end.
電話はどこにございますか。,Where is the phone?
二階にございます。,It's on the second floor.
失礼ですが、山田先生ではございませんか。,"Excuse me, but isn't this Dr. Yamada?"
はい、山田でございますが、どちら様ですか。,"Yes, I'm Yamada, who is this?"
ありがとうございます。,Thank you very much.
部屋に入ってもいいですか。どうぞお入りください,May I enter the room? Please come in.
喫茶店に入って、コーヒーでも飲みましょう。,Let's go into the coffee shop and have a cup of coffee.
時間があれば、スポーツクラブに入りたい。,"If I have time, I'd like to join a sports club."
この箱に何が入っているの。,What's in this box?
この野球場は三万人入れます。,This baseball stadium can hold thirty thousand people.
映画は何時に始まりますか。,What time does the movie start?
会議はもう始まっています。,The meeting has already started.
野球の試合は今始まったところです。,The baseball game has just started.
授業が始まる前に、先生に質問しました。,"Before the class started, I asked the teacher a question."
済んでしまった事を後悔しても始まらない。,You can't start regretting what you've already done.
勉強を始めましょう。,Let's start studying.
十時に会議を始めます。,We will begin the meeting at ten o'clock.
何から始めましょうか。,Where shall we start?
貿易の仕事を始めようと思っています。,I'm going to start working on my trade.
本を読み始めると、時間を忘れてしまう。,"When I start reading a book, I lose track of time."
体重を量りました。,I weighed myself.
寒気がするから、熱を測ってみた。,"I feel cold, so I took my temperature."
小包の重さを量っていただけませんか。,Could you please weigh the parcel?
長さを測る。,Measure the length.
平和的な解決を図るべきだ。,We should try to settle this matter peacefully.
このかばんを部屋に運んでください。,Please carry this bag to my room.
引っ越しの荷物を運ぶのを友達に手伝ってもらった。,I asked my friend to help me carry my belongings to the new house.
交通事故でけがをした人が救急車で病院へ運ばれた。,A person injured in a traffic accident was taken to the hospital by ambulance.
この大きい箱は一人で運べそうもない。,I don't think I can carry this big box by myself.
姉と買い物に行って、重い荷物を運ばされた。,I went shopping with my sister and she made me carry a heavy load.
今日、彼女は新しいスニーカーを履いています。,"Today, she is wearing a new pair of sneakers."
この靴を履いてみてもいいですか。,Can I try on these shoes?
気分が悪くて、吐いてしまいました。,I felt sick and threw up.
息を吸って、ゆっくり吐いてください。,Please breathe in and breathe out slowly.
床をほうきで掃いた。,I swept the floor with a broom.
ジョンは日本語が話せます。,John can speak Japanese.
すみませんが、もう少しゆっくり話していただけませんか。,"I'm sorry, but could you please speak a little more slowly?"
山田さんとは話したことがありません。,I've never talked to Mr. Yamada before.
ごめんなさい。今仕事で手が離せません。,I'm sorry. I'm busy with work.
この公園で犬を放してはいけません。,You can't let your dog loose in this park.
毎月、月末に家賃を払います。,I pay my rent at the end of every month.
カードで払ってもいいですか。,Can I pay by credit card?
この店の代金は私に払わせてください。,Please let me pay for this store.
そんな高いお金、とても私には払えない。,I can't afford to pay such a high price.
運転する時、歩行者に注意を払うように。,Pay attention to pedestrians when you drive.
たぶん明日は晴れるでしょう。,It will probably be sunny tomorrow.
午後は晴れたり曇ったりでした,It was sunny and cloudy this afternoon.
霧が晴れそうです。,The fog is going to clear.
彼は殺人の容疑が晴れた。,He was cleared of murder.
けがをした足首が腫れている。,The injured ankle is swollen.
封筒に切手をはった。,I put a stamp on the envelope.
壁にポスターがはってある。,There are posters on the wall.
私たちは河原でテントを張った。,We pitched our tent on the riverbank.
ベランダにロープを張って、洗濯物を干した。,I hung a rope on the balcony to dry the laundry.
公園の池に氷が張っている。,The pond in the park was covered with ice.
時間がなかったから、駅まで走りました。,"We didn't have much time, so we ran to the station."
廊下を走るな。,Don't run in the corridor.
足が痛くて、走れない。,"My feet hurt, I can't run."
学生の時、よく先生に校庭を走らされた。,"When I was a student, my teacher used to make me run in the schoolyard."
駅からその競技場までバスが走っています。,There is a bus that runs from the station to that stadium.
田中さんは九時から五時まで働きます。,Mr. Tanaka works from nine o'clock until five o'clock.
鈴木さんは貿易会社で働いています。,Mr. Suzuki works at a trading company.
彼は働きながら大学を出た。,He graduated from college while working.
今日はどうも頭が働かない。,I can't seem to get my head around it today.
彼らは銀行強盗を働いて、逮捕された。,They were arrested for robbing a bank.
今どんなファッションがはやっていますか。,What kind of fashion is popular now?
黒い服が、はやっています。,Black clothes are very popular.
その歌は、二十年ぐらい前にとてもはやった。,That song was very popular about twenty years ago.
今年の冬はインフルエンザがはやるそうだ。,I heard that the flu is going to be popular this winter.
あのレストランは、とてもはやっています。,That restaurant is very popular.
出費を減らさなければならない。,We have to reduce our expenses.
経営不振で給料が減らされました。,My salary has been reduced due to poor management.
どの会社も経費を減らす努力をしている。,All companies are making efforts to reduce their expenses.
う少し体重を減らせと医者に言われました。,I was told by my doctor to lose some weight.
子供達は、おなかを減らして帰ってきた。,The children came home with empty stomachs.
野生動物の数が減っている。,The number of wild animals is decreasing.
去年と比べて、売り上げが15パーセント減った。,Sales are down 15 percent compared to last year.
彼女は体重が五キロ減りました。,She has lost five kilos in weight.
買い物しすぎて、貯金が減ってしまった。,She shopped so much that her savings were depleted.
腹が減った。,I'm hungry.
このドアは押さないで、引いてください。,"Don't push this door, please pull it."
店の人はその値段から5パーセント引いてくれた。,The shopkeeper gave me five percent off that price.
今風邪をひいています。,I'm catching a cold now.
意味が分からなければ、辞書を引きなさい。,"If you don't know what it means, consult a dictionary."
ピアノもギターも少し弾けます。,I can play the piano and a little guitar.
ごみを拾ってください。,Please pick up the trash.
男の子は道で財布を拾った。,The boy picked up his wallet on the street.
どこかでタクシーを拾って帰ろう。,Let's get a cab somewhere and go home.
途中で友達を拾って、空港へ向かった。,He picked up a friend on the way and headed for the airport.
失業中に、社長に拾われた。,"While unemployed, he was picked up by the boss."
先生は生徒達を褒めた。,The teacher praised the students.
彼の努力を褒めてあげたい。,I want to praise him for his efforts.
お母さんに褒められて、その子は嬉しそうだった。,The boy was happy when his mother praised him.
彼女はよくあなたの優しさを褒めています。,She often praises you for your kindness.
それはあまり褒められたことじゃない。,That's not much of a compliment.
祖父は九十二歳まで生きた。,My grandfather lived to be ninety-two years old.
この魚はまだ生きています。,This fish is still alive.
彼は生きるために一生懸命働いた。,He worked very hard to survive.
合格の発表があるまで、生きた心地がしない。,I won't feel like I've lived until I hear the announcement of my acceptance.
上着を無地にしたほうが、そのシャツが生きると思います。,"I think you should make your jacket plain, so that the shirt will live."
明日九時に学校へ行きます。,I'm going to school tomorrow at nine o'clock.
京都へ行ったことがありますか。,Have you ever been to Kyoto?
この道をまっすぐ行ってください。,Please go straight down this road.
忙しくて、買い物に行けません。,I'm too busy to go shopping.
明日天気が良ければ、公園に行きましょう。,"If the weather is fine tomorrow, let's go to the park."
毎年正月に神社で一年の幸せを祈ります。,"Every New Year's Day, we go to the shrine to pray for the year's happiness."
母は子供の病気の回復を祈った。,Mother prayed for the child's recovery from his illness.
彼の健闘を祈って、乾杯しましょう。,Let's make a toast to his good health.
うまくいくように祈ってください。,Pray for things to go well.
みんな目を閉じて、死者の冥福を祈った。,Everyone closed their eyes and prayed for the souls of the dead.
先生がいらっしゃったら、これを渡していただけませんか。,"If the doctor is here, could you please give this to him?"
社長は来週ロンドンへいらっしゃるでしょう,The president will be in London next week.
山田さん、いらっしゃいますか。はい、私ですが。,"Yamada-san, are you here? Yes, it's me."
鈴木先生は息子さんが二人いらっしゃるそうです,I heard that Dr. Suzuki has two sons.
明日はお宅にいらっしゃいますか。,Are you coming to my house tomorrow?
コーヒーに砂糖かミルクを入れますか,Would you like sugar or milk in your coffee?
テレビのスイッチを入れてください。,Please turn on the TV.
切符は上着のポケットに入れてある。,I put the ticket in my jacket pocket.
社員は私を入れて、二十五人です。,"There are twenty-five employees, including me."
お茶をお入れしましょうか。,Would you like me to make you some tea?
あそこに森さんがいます。,Mr. Mori is over there.
東京にどのぐらいいる予定ですか。,How long are you planning to stay in Tokyo?
私は妹が一人います。,I have a younger sister.
今何をしていますか。,What are you doing now?
家を出た時、雨が降っていた。,"When I left home, it was raining."
新しい靴が要ります。,I need new shoes.
宿題をするのに辞書が要る。,I need a dictionary to do my homework.
ほかに何か要る物がありますか。いいえ、もう何も要 りません。,"Do you need anything else? No, I don't need anything else."
その本が要らなければ、私にくれませんか。,"If you don't need the book, can you give it to me?"
引っ越しする時、要らない物を捨てた。,"When I moved, I threw away some things I didn't need."
駅へ急ごう。,Let's hurry to the station.
急がないと、間に合わない。,"If we don't hurry, we won't make it in time."
彼女は急いでうちに帰った。,She hurried back to her house.
仕事を急いだほうがいいです。,You'd better hurry up with your work.
そんなに急がせないでください。,Please don't make me hurry so much.
いかがいたしましょうか。,How may I help you?
お手伝いいたしましょう。,Let me help you.
後程またご連絡いたします。,I'll call you back later.
お待たせいたしました。,Thank you for your patience.
よろしくお願いいたします。,Thank you for your cooperation.
鈴木さんはよく冗談を言います。,Mr. Suzuki often makes jokes.
すみませんが、もう一度言ってください。,"I'm sorry, but could you repeat it?"
“Cherry blossom” は日本語で何と言いますか。“桜”と言います。,"How do you say ""cherry blossom"" in Japanese? ""It's called ""cherry blossom."
私は佐藤と申します。どうぞよろしく。,My name is Sato. Thank you very much.
先生は何とおっしゃいましたか。,What did the teacher say?
明日テストがあるとおっしゃいました。,He said we have a test tomorrow.
私達は友達の誕生日を祝いました。,We celebrated my friend's birthday.
ご結婚をお祝い申し上げます。,I would like to congratulate you on your marriage.
チームの優勝を祝って、乾杯しましょう。,Let's drink a toast to our team's victory.
みんなが私の病気の回復を祝ってくれました。,Everyone congratulated me on my recovery from my illness.
彼の優勝を祝うために、友達がみんな集まりました。,All my friends gathered to celebrate his victory.
昨日五時にうちに帰りました。,I returned home at five o'clock yesterday.
鈴木さんは来月アメリカから帰って来ます。,Mr. Suzuki is coming back from America next month.
社長はもうお宅へお帰りになりました。,The president has already gone home.
気分が悪いので、帰ってもいいですか。,"I don't feel well, can I go home?"
電車に忘れたかばんが返って来ました。,"My bag, which I left on the train, has been returned to me."
旅行の行き先を京都から金沢に変えました。,I changed the destination of my trip from Kyoto to Kanazawa.
髪型を変えようと思っています。,I'm thinking of changing my hairstyle.
円札を百円玉に換えてもらった。,I had a yen bill exchanged for a 100 yen coin.
すみませんが、席を換えていただけませんか。,"I'm sorry, but could you please change my seat?"
うまくいかなかったら、やり方を変えてみよう。,"If it doesn't work, let's change the way we do things."
花瓶の水を替える。,Change the water in the vase.
書面をもって挨拶に代える。,Instead of a written greeting.
明日傘を返します。,I'll return the umbrella tomorrow.
CDはいつお返しすればいいですか。,When should I return the CD?
来週返してください。,Please return it next week.
読んだ本は元の所に返してください。,Please return the books you have read to their original place.
友達に借りたお金を返さなければならない。,I have to return the money I borrowed from my friend.
うちから学校まで三十分ぐらいかかります。,It takes about thirty minutes from my house to school.
この自転車を修理するのにいくらぐらいかかりますか。,How much does it cost to repair this bicycle?
壁にきれいな絵がかかっている。,There is a beautiful picture hanging on the wall.
会議室に鍵がかかっていて、入れません。,I can't get into the conference room because it's locked.
彼女はインフルエンザにかかって、会社を休んでいる。,She has the flu and is absent from work.
コートをハンガーに掛けました。,I put my coat on a hanger.
田中さんに電話を掛けました。,I made a phone call to Mr. Tanaka.
ドアに鍵を掛けるのを忘れないでください。,Please don't forget to lock the door.
どうぞこちらのいすにお掛けください。,Please have a seat in this chair.
彼はその馬に一万円をかけた。,He spent ten thousand yen on the horse.
イギリス人の友達に手紙を書きました。,I wrote a letter to my English friend.
漢字がいくつぐらい書けますか。,How many kanji can you write?
あの看板に何と書いてありますか。,What does that sign say?
彼は新宿の地図をかいてくれた。,He drew me a map of Shinjuku.
彼女の趣味は絵をかくことです。,Her hobby is drawing pictures.
彼は木陰に隠れた。,He hid behind a tree.
富士山は雲に隠れてしまって、見えなかった。,Fuji was obscured by clouds.
子供達の隠れた才能を引き出したい。,I want to bring out the hidden talents of children.
その学生は教師に隠れてカンニングをした。,The student hid from the teacher and cheated.
調査が進むと、隠れていた問題が明らかになった。,"As the investigation progressed, the hidden problem became apparent."
彼は誰にも見つけられないように、お金を隠した。,He hid the money so that no one could find it.
彼女は恥ずかしさのあまり、両手で顔を隠してしまった。,She was so embarrassed that she covered her face with her hands.
子供達は夏休みが始まる喜びを隠せないようだった。,The children couldn't hide their joy at the start of summer vacation.
彼らは事実を隠そうとした。,They tried to hide the fact.
隠さないで、本当の事を言って欲しい。,"Don't hide it, just tell us the truth."
ここに荷物を置いても構いませんか。,Do you mind if I leave my luggage here?
コーヒーと紅茶とどちらがよろしいですか。どちらでも構いません。,Would you like coffee or tea? I don't care which.
もう帰らなければ。そうですか。お構いもしませんで。,I have to go home. I see. Don't mind me.
私に構わないで、先に帰ってください。,Leave me alone and go home first.
彼女はあまり身なりに構わない。,She doesn't care much about her appearance.
もう一度考えてみます。,I'll think about it again.
この問題について、どうお考えになりますか。,What do you think about this problem?
彼がうそをついたとは考えられない。,I can't imagine that he lied.
ジョンは日本で働く事を考えている。,John is thinking about working in Japan.
その件はもう少し考えさせてくれませんか。,Can you let me think about that some more?
今日の試験はいつもより難しく感じた。,Today's exam seemed more difficult than usual.
彼は肩に激しい痛みを感じました。,He felt a severe pain in his shoulder.
彼の態度には誠意が感じられない。,I can't sense any sincerity in his attitude.
誰かが近づいてくるのを感じて、後ろを振り返った。,He felt someone approaching and turned around.
その選手のプレーは年を感じさせない、素晴らしいものだった。,"The player's play was excellent, showing no signs of age."
友達からお金を借りました。,I borrowed some money from a friend.
この図書館では一度に十冊の本が借りられます。,You can borrow ten books at a time from this library.
電話をお借りしてもいいですか。,May I borrow your phone?
彼は東京でアパートを借りている。,He is renting an apartment in Tokyo.
猫の手も借りたいくらい忙しい。,I'm so busy I need a cat's paw.
友達にお金を貸しました。,I lent some money to a friend.
鉛筆を貸していただけませんか。,Can I borrow your pencil?
ちょっと手を貸してください。,Please give me a hand.
彼女は友達の忠告に耳を貸さなかった。,She did not listen to her friend's advice.
よろしかったら、この辞書をお貸ししましょうか。,"If you don't mind, I'd like to lend you this dictionary."
机の上を片付けます。,I'll clean up the desk.
コップや皿を片付けてくれませんか。,Could you please put away the cups and plates?
この問題をできるだけ早く片付けたい。,I want to get this matter over with as soon as possible.
五時までに仕事を片付けなければなりません。,I have to finish my work by five o'clock.
あまりにも汚かったから、弟に部屋を片付けさせた。,It was so dirty that I made my brother clean up his room.
彼はテニスの試合に勝った。,He won the tennis match.
四対三で彼らのチームが勝ちました。,Their team won by four to three.
今、どっちが勝っていますか。,Who is winning now?
どうしてもチェスで父に勝てない。,I just can't beat my father at chess.
この試合に勝て。絶対に負けるな。,Win this game. Don't lose.
秋葉原でパソコンを買いました。,I bought a computer in Akihabara.
新幹線の切符はどこで買えますか。,Where can I buy a ticket for the Shinkansen?
新しい車を買おうと思っています。,I'm thinking of buying a new car.
日本語の辞書を買わなければなりません。,I have to buy a Japanese dictionary.
彼女は猫を一匹飼っています。,She has a cat.
ぬれたシャツを乾かしました。,I dried my wet shirt.
いつもドライヤーで髪を乾かします。,I always use a hair dryer to dry my hair.
ここで靴を乾かしてもいいです。,You can dry your shoes here.
シャツをハンガーに掛けて乾かさないと、しわになります。,"If you don't hang your shirt on a hanger to dry, it will get wrinkled."
天気のいい日に布団を日に当てて乾かします。,Dry your bedding in the sun on a sunny day.
洗濯物は乾きましたか。いいえ、まだ乾いていません。,"Have you dried your laundry yet? No, it's not dry yet."
そのシャツはすぐ乾くでしょう。,That shirt will be dry soon.
ペンキが乾いていないから、その壁に触らないでください。,Don't touch that wall because the paint hasn't dried yet.
のどが渇いた。,I'm thirsty.
年,Year
月,Month
日,Day
日にち,Day of the week
曜日,Day of the week
週,Week
週末,Weekend
時間,Hours
日間,Day
週間,Week
ヶ月(間),Months
年(間),Year
一日,One day
一年,One year
半年,Half year
時間,Time
時,Hour
分,minute
秒,Second
今、5時10分前です,It's 5:10 a.m.
9時15分￥過ぎに家を出ました,I left the house at 9:15 a.m.
半,Half
午前,A.M.
午前中,Mid-morning
正午,Noon
午後,Afternoon
今日,Today
明日,Tomorrow
明後日,Day after tomorrow
昨日,Yesterday
一昨日,Day before yesterday
今週,This week
来週,Next week
再来週,The week after next
先週,Last week
今月,This month
来月,Next month
再来月,Next month
先月,Last month
今年,This year
来年,Next year
再来年,Next year
去年,Last year
昨年,Last year
一昨年,year before last
朝,Morning
昼,Lunch
晩,Night
夜,Night
夕方,Evening
今朝,This morning
今晩,Tonight
今夜,Tonight
春,Spring
夏,Summer
秋,Autumn
冬,Winter
季節,Season
毎,Every
毎朝,Every morning
毎週,Every week
毎月,Every month
毎年,Every year
毎日,Every day
毎晩,Every night
日本にきたのは何年ですか,What year did you come to Japan?
その日はだめです,Not that day.
月に一度、集まりました,We meet once a month
今日は何日ですか,What day is today?
日にちは決まりましたか,Have you decided on a date?
お休みは何曜日ですか,What day is your day off?
どの週がいいですか,Which week is good for you?
週末はいつも何をしていますか,What do you usually do on weekends?
ここから東京まで何時間かかりますか,How long does it take to get to Tokyo from here?
最初の15日間は無料です,The first 15 days are free!
セールは土日の2日間です,"Sale is for two days, Saturday and Sunday"
夏に2週間、国に帰ります,I'm going back to my country for two weeks in the summer.
日本に来て、まだ３ヶ月です,I've only been in Japan for 3 months.
ここに５年住んでいます,I have lived here for 5 years.
来月、一日休みをとります,I'm going to take a day off next month.
昨日,Yesterday
一昨日,The day before yesterday
昨年,Last year
しあさって,The day after tomorrow
先々週,week before last
先日,the day before
当日,the same day
翌日,the next day
近いうちに,sooner or later
後日,Later
今後,In the future
当時,At that time
以前,Before
以後,After
以来,Since
以降,Since
時期,Time
延期する,Postpone
上旬,Early
中旬,Middle
下旬,Late
月末,End of month
年末年始,Year-end and New Year
ゴールデンウィーク,Golden Week
元旦,New Year's Day
普段,Everyday
普段着,Everyday wear
平日,Weekday
祝日,Holidays
休日,Holiday
期間,Period
延長する,Extend
シーズン,Season
臨時,Temporary
休暇,Vacation
夜中,Midnight
深夜,Midnight
真夜中,Midnight
明ける,dawn
初め,Beginning
今年の初め,Beginning of the year
後,After
際,time
同時,Simultaneous
たった今,Just now
早め,Earlier
現在,now
過去,past
未来,Future
将来,future
一生,Lifetime
永遠,Eternity
現代,Contemporary
今日,Today
時代,Age
年代,Age
世紀,century
経つ,Passage
ぶり,Time
日にち,Date
日付,Date
日時,Date and time
今回,This time
次回,Next time
機会,Opportunity
チャンス,Opportunity
きっかけ,Opportunity
食べ物,Food
果物,Fruits
りんご,apple
みかん,Mandarin Oranges
レモン,Lemon
バナナ,banana
メロン,melon
いちご,strawberry
ぶどう,Grape
すいか,Watermelon
野菜,Vegetables
にんじん,Carrots
じゃがいも,Potatoes
たまねぎ,Onions
きゅうり,Cucumber
トマト,tomato
肉,Meat
豚肉,Pork
鶏肉,Poultry
牛肉,Beef
魚,Fish
卵,Eggs
ハム,Ham
ソーセージ,Sausage
チーズ,cheese
とうふ,tofu
ご飯,rice
ライス,rice
みそ汁,miso soup
うどん,Udon
そば,buckwheat noodles
ラーメン,Ramen
パン,bread
サラダ,salad
スープ,Soups
カレー,curry
牛丼,Beef bowl
寿司,Sushi
おにぎり,Rice ball
さしみ,Sashimi
天ぷら,Tempura
すきやき,Sukiyaki
スパゲティ,Spaghetti
ピザ,pizza
サンドイッチ,Sandwiches
ハンバーグ,hamburger
ハンバーガー,Hamburger
ステーキ,Steak
ポテト,Potatoes
お菓子,Sweets
甘いもの,Sweet
アイスクリーム,Ice cream
ケーキ,Cakes
チーズケーキ,Cheese cake
チョコレート,Chocolate
クッキー,Cookies
ドーナツ,Doughnuts
ガム,gum
あめ,candy
おつまみ,Snacks
飲み物,Drinks
ホット,Hot
アイス,Ice
コーヒー,Coffee
アイスコーヒー,Iced Coffee
紅茶,Black Tea
アイスティー,Iced Tea
牛乳,Cow's Milk
ミルク,milk
コーラ,cola
ジュース,Juice
水,Water
お湯,Hot water
ビール,Beer
酒,Liquor
ワイン,wine
アルコール,Alcohol
ドリンク,drink
味見する,Taste
味わう,Tasting
かじる,Nibble
食う,Eat
食欲,Appetite
昼食,Lunch
朝食,Breakfast
夕食,dinner
食卓,Dinner table
こんな高級なお肉がうちの食卓に上がるのは、年に1回くらいです,This kind of expensive meat makes it to our table about once a year!
ごうちそうする,Treating someone
先輩にお昼をごうちそうしてもらった,The senior staff treated me to lunch.
昨日のパーティーはすごいごちそうだったね,Yesterday's party was an amazing feast!
乾杯する,Cheers!
外食する,Eating out
普段は家で食べますけど、休みのひ時々外食します,"I usually eat at home, but sometimes I eat out on my days off."
自炊する,Cooking for myself
ステーキ,Steak
うどん,Udon
汁,Soup
早く食べいと、お汁が冷めちゃうよ,"If you don't eat quickly, the soup will get cold."
おかず,Side dishes
おかずが多いからご飯はちょっとでいい,"There are so many side dishes, you only need a little rice."
菓子,Sweets
お菓子を食べすぎると、ご飯が食べられなくなるよ,"If you eat too many sweets, you won't be able to eat rice."
洋菓子,Western sweets
和菓子,Japanese sweets
フルーツ,Fruits
ジュース,Juice
ウイスキー,Whiskey
米,Rice
小麦,Wheat
豆,Beans
作物,Crops
お米のほか、畑でいろいろな作物を育てています,"In addition to rice, we grow a variety of crops in our fields."
食料,Food
