Expression,Reading,Meaning
真面目,まじめ,"diligent, serious"
ごらんになる,,honorific expression for mire
店員,てんいん,clerk; shop-employee
泊まる,とまる,to stay (over night) (v.i.)
よろしい,よろしい,"(hon.) good, OK, all right"
今夜,こんや,"this evening, tonight"
おつり,おつり,change; balance of money returned to the purchaser
チェックする,チェックする,check
会話,かいわ,conversation
空気,くうき,"air, atmosphere"
交通,こうつう,"traffic, transportation"
ワープロ,ワープロ,word processor
喜ぶ,よろこぶ,"to rejoice, to be delighted, to be glad"
急行,きゅうこう,express train or bus
皆,みな,everyone
味,あじ,"flavor, taste"
空港,くうこう,airport
手袋,てぶくろ,glove(s)
校長,こうちょう,"principal, headmaster"
ごちそう,ごちそう,"feast, treating (someone)"
踊り,おどり,dance
興味,きょうみ,interest (in something)
引っ越す,ひっこす,to move to a new place of residence
冷房,れいぼう,"cooling, air conditioning"
都合,つごう,"circumstances, convenience"
遠慮,えんりょする,"restraint, reserve, hesitate"
亡くなる,なくなる,to pass away
科学,かがく,science
はっきり,はっきり,"clearly, distinctly"
差し上げる,さしあげる,humble expression for ageru
気持ち,きもち,"feeling, sensation, mood"
祖父,そふ,grandfather
港,みなと,"harbor, port"
予約,よやく,reservation
凄い,すごい,"terrific, great"
入学,にゅうがくする,entry to school or university
片付ける,かたづける,"to (clean) tidy up (v.t.), to put away"
写す,うつす,to copy (v.t.); to photograph
パソコン,パソコン,(personal) computer
部長,ぶちょう,department (division) manager
火事,かじ,fire
足す,たす,to add (numbers)
教会,きょうかい,church
彼ら,かれら,they (usually male)
いっぱい,一杯,"full, to the utmost"
アメリカ,アメリカ,"America, U.S.A."
男性,だんせい,man; male
理由,りゆう,reason
生産,せいさんする,production; to produce
着物,きもの,kimono; Japanese traditional dress
おもちゃ,おもちゃ,a toy
暮れる,くれる,"to get dark, to come to an end"
釣る,つる,to fish
～ちゃん,～ちゃん,suffix for familiar (female) person
打つ,うつ,"to hit, to strike"
あんな,あんな,"such, like that"
謝る,あやまる,to apologize
昼間,ひるま,"daytime, during the day"
教育,きょういく,education
女性,じょせい,woman
米,こめ,uncooked rice
邪魔,じゃま,"hindrance, intrusion"
国際,こくさい,international
隅,すみ,corner
伺う,うかがう,"humble form of iku, kimu and kuru"
再来週,さらいしゅう,the week after next
夢,ゆめ,a dream
喉,のど,throat
最近,さいきん,"recently, nowadays, in recent years, most recent, latest"
周り,まわり,surroundings
歴史,れきし,history
不便,ふべん,inconvenience
血,ち,blood
～続ける,～つづける,to continue doing ~
毛,け,"hair, fur"
ひどい,ひどい,"terrible, awful, unfair, cruel"
例えば,たとえば,"for example, e.g."
中々,なかなか,"very, considerably, quite"
随分,ずいぶん,extremely
～やすい,～やすい,easy to do ~
押し入れ,おしいれ,closet
電灯,でんとう,electric light
叱る,しかる,to scold
サンダル,サンダル,sandal
びっくりする,びっくりする,to be surprised
うまい,うまい,delicious; skillful; fortunate
変える,かえる,"to change, to alter, to vary"
講堂,こうどう,auditorium
子,こ,child
沸かす,わかす,to boil
レジ,レジ,register
しばらく,しばらく,little while
特に,とくに,particularly
空く,あく,"to open, to become empty (vacant)"
計画,けいかくする,"plan, project, schedule"
通り,とおり,"~ Street, ~ Avenue"
下着,したぎ,underwear
経済,けいざい,"economics, finance, economy"
こう,こう,"like this, this way"
是非,ぜひ,"certainly, by all means; without fail"
裏,うら,"reverse side, back"
為,ため,"good, advantage, in order to"
おいでになる,おいでになる,(hon.) to be
変わる,かわる,"to change (v.i.), to be transformed, to vary"
以外,いがい,"other than, with the exception of, excepting"
済む,すむ,"to finish, to end"
ハンバーグ,ハンバーグ,hamburger steak
市,し,city
引き出し,ひきだし,drawer
遊び,あそび,play
支度,したくする,preparation
～始める,～はじめる,to start doing ~
見える,みえる,to be visible; polite verb meaning kuru
十分,じゅうぶん,enough
音,おと,"sound, note"
きっと,きっと,"surely, definitely, undoubtedly, certainly"
まず,まず,"first (of all), to start with"
遠く,とおく,"far away, distant"
大体,だいたい,approximately; in most cases; in general; to begin with
折れる,おれる,"to break, to be folded, to give in; to turn (a corner)"
正しい,ただしい,correct
輸入,ゆにゅう,import
返事,へんじ,"reply, answer"
都,と,metropolitan
産業,さんぎょう,industry
伝える,つたえる,"to convey (a message); to tell, to report"
お金持ち,おかねもち,rich person
説明,せつめい,explanation
島,しま,island
道具,どうぐ,tool
滑る,すべる,"to slide, to slip"
それほど,それほど,to that degree; extent
以上,いじょう,more than; this is all
～まま,～まま,as it is
特急,とっきゅう,limited express (train faster than an express)
プレゼント,プレゼント,"present, gift"
～(に) よると,～(に) よると,according to ~
妻,つま,wife (humble)
帰り,かえり,"return, coming back"
具合,ぐあい,"condition, state, health"
堅; 硬; 固い,かたい,"solid, hard, firm"
駐車場,ちゅうしゃじょう,parking lot
スーツ,スーツ,suit
危険,きけん,"danger, risk, hazard"
髪,かみ,hair
天気予報,てんきよほう,weather forecast
彼女,かのじょ,girlfriend; she
間,あいだ,"space, interval"
卒業,そつぎょう,graduation
それで,それで,"and (conj.), thereupon, because of that"
枝,えだ,"branch, twig"
専門,せんもん,major; speciality
そろそろ,そろそろ,"gradually, soon"
送る,おくる,"to send, to dispatch"
あげる,あげる,to give
騒ぐ,さわぐ,"to make noise, to clamor"
尋ねる,たずねる,to inquire (same as 質問する)
放送,ほうそうする,broadcasting
政治,せいじ,politics
市民,しみん,citizen
ファックス,ファックス,fax
負ける,まける,"to lose (a game) (v.i.), to be defeated"
指輪,ゆびわ,(finger) ring
田舎,いなか,"rural, countryside"
見つける,みつける,"to discover, to find (v.t.)"
高校生,こうこうせい,high school student
講義,こうぎ,a lecture
そんなに,そんなに,"so much, like that"
昼休み,ひるやすみ,"lunch break, noon recess"
忘れ物,わすれもの,"lost article, something forgotten"
下りる,おりる,"to get down, to go; come down"
腕,うで,arm (in reference to body)
訳,わけ,reason; explanation
承知,しょうちする,"consent, acceptance"
日記,にっき,"diary, journal"
高校,こうこう,high school
似る,にる,"to resemble, to be similar"
～おわる,～おわる,to finish doing ~
暖房,だんぼう,heating
留守,るす,absence; not at home
割合,わりあい,"rate, ratio, percentage"
寺,てら,Buddhist temple
慣れる,なれる,to grow accustomed to
普通,ふつう,common; usual
手伝う,てつだう,to help
なるほど,なるほど,I see; I now understand
くださる,くださる,"(hon.) to give, to confer"
息子,むすこ,(humble) son
お子さん,おこさん,(someone else's) child (polite)
会場,かいじょう,"venue, meeting place"
笑う,わらう,"to laugh, to smile"
運ぶ,はこぶ,"to transport, to carry"
文学,ぶんがく,literature
光,ひかり,light
お見舞い,おみまい,"calling on someone who is ill, visit"
席,せき,a seat
～様,～さま,"Mr., Mrs., Ms."
ご存じ,ごぞんじ,"knowing, acquaintance"
下る,さがる,"to descend, to drop, to fall"
字,じ,letter; character
アジア,アジア,Asia
褒める,ほめる,to praise; to say nice things
空く,すく,"to be empty (in reference to people), to be less crowded"
あ,あ,Ah
最も,もっとも,most
合う,あう,"to fit, to match"
～代,～だい,~ age; period
最後,さいご,"last, end"
値段,ねだん,price
退院,たいいんする,leaving hospital
展覧会,てんらんかい,exhibition
久しぶり,ひさしぶり,it has been a long time; for the first time in a long time
カーテン,カーテン,curtain
汽車,きしゃ,train (steam)
遅れる,おくれる,to (be) become late
見つかる,みつかる,"to be found (v.i.), to be discovered"
召し上がる,めしあがる,honorific form of taberu and nomu 
太る,ふとる,to gain weight
注射,ちゅうしゃ,injection
様,よう,"way, manner, kind"
～おき,～おき,after every ~
最初,さいしょ,"beginning, first"
御～,ご～,honorable ~
安心,あんしん,"peace of mind, relief"
直る,なおる,to be fixed
集める,あつめる,"to collect, to gather (v.t.), to assemble"
直す,なおす,to correct (v.t.); to fix
続く,つづく,to be continued
先輩,せんぱい,senior members of a group
約束,やくそく,"arrangement, appointment, promise"
世話,せわする,looking after; to look after
近所,きんじょ,neighborhood
将来,しょうらい,(in the) future; prospects
億,おく,hundred million
数学,すうがく,mathematics
文化,ぶんか,culture
払う,はらう,to pay
習慣,しゅうかん,custom (in reference to culture)
焼ける,やける,"to burn, to be roasted"
君,きみ,you (informal for men)
冷える,ひえる,"to grow cold, to cool down"
点く,つく,"to be started, to be switched on"
この間,このあいだ,"the other day, recently"
かっこう,格好,"appearance, manner, shape, form, posture"
かまう,,"to mind, to care about, to be concerned about"
続ける,つづける,"to continue, to keep up"
落す,おとす,"to drop, to lose"
明日,あす,tomorrow
出発,しゅっぱつする,departure
拝見,はいけんする,"(humble) (polite) seeing, look at"
割れる,われる,to break
背中,せなか,back (of body)
新聞社,しんぶんしゃ,newspaper company
いじめる,いじめる,"to bully, to torment"
回る、回す,まわる、まわす,"to go around, to revolve"
～君,～くん,"Mr. (junior) ~, master ~"
おっしゃる,おっしゃる,honorific expression for iu
眠い,ねむい,"sleepy, drowsy"
濡れる,ぬれる,to get wet
倒れる,たおれる,"to collapse, to break down"
スーパー (マーケット),スーパー (マーケット),supermarket
アクセサリー,アクセサリー,accessory
考える,かんがえる,to think (about); to consider
向かう,むかう,"to face, to go towards"
自由,じゆう,freedom
仕方,しかた,way (of doing something)
首,くび,neck
程,ほど,"degree, extent"
代わり,かわり,"substitute, replacement"
失敗,しっぱい,"failure, mistake"
工業,こうぎょう,(manufacturing) industry
移る,うつる,to move (fr. a house); to transfer (fr. a dept.); to shift
スーツケース,スーツケース,suitcase
ひげ,ひげ,beard
