Script,s2,s3,s4,s5,s6,s7,s8,s9,s10
彼は湖畔巡りの旅で我々を案内した。,彼らはその制度を改めた。,このようにして、彼は工場の経営に成功したのです。,この問題に対してあなたがしたことは、とても高い評価を受けている。,そこは風景が美しいので有名だ。,若いころに受けた印象ほど鮮やかに心に残るものはない。,ジョンは座って窓の外を眺めていた。,暑くなりそうだな。,彼が英語に堪能であるなら、彼を雇いましょう。,私達の町にはすばらしいスポーツ施設がある。
我々はその夜湖畔のホテルに宿泊した。,どうして考えを改めたのですか。,その事故が起こったとき、彼はその工場でもう３年間働いていた。,今後旅行の際はぜひ当社をご検討ください。,スイスの美しい風景を楽しんでいるだろうね。,暑い気候が雪を水にかえた。,この部屋から街が大変よく眺められます。,日本では夏は非常に暑い。,冬にはコートを着るんだよ。,うちの大学にはすばらしいスポーツ施設がある。
湖畔の古い教会はとても美しい。,こうした事実から考えてみて、私たちの理論を改めることが必要かもしれない。,あなたがこの工場で働く女性の担当になります。,海外へ旅行する際には、通常、パスポートが必要である。,彼が引き受けるべきだという私の考えは不動だ。,私は気候が暖かくなるまで、イギリスに行くのを延ばすよ。,子供はその動物を面白がって眺めた。,そんな気分じゃなかったんだ。,冬は私の一番好きな季節です。,これは父の働いてる施設だ。
この語句の意味は何ですか？。,君はとてもいい味覚をしてるよ。,テレビを製造している工場を訪問します。,あなたの町へ今度旅行する際、あなたにお会いするのが楽しみです。,この本は初心者でも理解できるようなやさしい英語で書かれている。,日本の気候はイングランドの気候と似ていない。,トムは玄関先に立っていた。,私はアイスクリームを食べるといつも幸せな気分になる。,夏は海に行き、冬は山に行きます。,その会社のメンバーだけがその施設を使う資格がある。
法律文書では難しい言葉や語句がよく使用される。,風邪で彼の味覚は鈍くなっていた。,Ａ社のアニュアルレポートは参考になる。,テニスやピンポンのバックハンドでは手は球を打つ際逆向きになる。,あなたは初心者としてはテニスがうまい。,気候が性格に影響すると思いますか。,商品のお届けは玄関先までとなっております。,パーティーに行く気分じゃないんだ。,冬にはよくスキーに行きました。,会員はだれでもこれらの施設を利用できる。
自分の辞書でその語句を調べてごらん。,これなんていう料理？。,彼も大人になって、物事を総合的な視野で見られるようになった。,私たちは旅行する際には、ペットのことを考慮しなければならない。,初心者でも参加できますか？。,とてもいいんですが、気候がどうもねえ。,トムなら玄関先にいると思うよ。,もう気分は良くなった？。,冬の後に春が来る。,電話案内がコンサートの開始時間を教えてくれますよ。
その作家の文体は挿入語句が多い。,インドネシア料理はお好きですか？。,工業区と商業区が一体となった総合的な開発区を目指しております。,私は兵庫県に住んでいる。,何てこった、初心者にやられた！。,この土地とこの家は私の物ですよ。,スキーの時期は過ぎた。,最高の気分だよ。,チェスをすることに関しては、彼に並ぶものはいません。,ダウンロードを開始するには「保存」ボタンをクリックしてください。
彼は状況を理解するのに多少の時間がかかった。,料理うまいね。,この授業を通して、日本語の総合的な力を養っていきます。,兵庫県の人口はどれぐらいですか。,初心者向けのコースがありますか。,土地の価格は毎年上昇している。,ところで、もう本当の話がされてもいい時期だと思うよ。,これらの商品の中には、地元では手に入らないものもあるかもしれない。,あなたは、何のために並んでいるのですか？。,試験は何時開始ですか？。
多少のお金はある。,彼女は料理がうまい。,総合的に見て、このたびの会議は有益で、目的を達したと言えると思います。,スペイン人は夜の涼しさの中を散歩するのが大好きだ。,彼と私はホテルに滞在した。,この土地の一部は私のものだ。,誰も人の死ぬ時期を決めることなどできません。,ここが地元の人気スポット？。,ここ何で並んでるんですか？。,彼らは敵に激しい攻撃を開始した。
その決定はあなたが言ったことと多少関係がある。,トムはメアリーが料理が好きだと知らなかった。,あなたはこれを選びましたか？。,７月の上旬は、海に行くのは早いかな？。,滞在目的は何ですか？。,彼は土地をすべて売った。,メアリーと過ごした時期のことすべてを、トムは忘れることはないでしょう。,地元のニュースは次に放送されます。,前の人との距離を１メートルずつ離れて並びなさい。,敵は我々に攻撃を開始した。
彼は多少彼女の問題を理解している。,サービスにはご満足いただけましたか？。,あなたのすきなドレスを選びなさい。,私は車を買う気がしない。,少しの間ここに滞在します。,その土地は父から子へと伝わってきた。,彼らはできるだけ早い時期に結婚したいと思った。,地元で作っているビールはありますか。,実行は理論と並んでいかなければならない。,何描いてるの？。
多少あとが残るかもしれません。,その調査の結果は十分に満足のいくものだった。,ネクタイを選んでくれませんか？。,車をお持ちですか？。,ここにはどのくらい滞在する予定ですか。,当時テレビが各家庭に現れだした。,トムさんはアラビアの馬を育ている。,地元のチームは勝った。,ブームは峠を越した。,円を描いてくれ。
私も危険な目に遭っている。,結果には満足だった？。,トムは選んだ。,トムは車のラジオをつけた。,ご滞在の目的は。,各世代の人々は改めて自分で過去の事実を発見しなければならないだろう。,彼女は二人の子を育てた。,大人になったらパイロットになりたいんだ。,患者さんは峠を越しました。,モナリザはレオナルド・ダヴィンチによって描かれた。
彼は危険に気づいていなかった。,彼はまったく満足していなかった。,好きなものを選んでいいよ。,私は車を買うことにした。,モデルは魅力のある体をしていなければならない。,各国民にはそれぞれ独特の性格がある。,彼女は大変な努力をして子供を育てた。,大人っぽくなりたい。,猛暑の峠は越えたようだが、日中はまだまだ暑い。,私はコンパスで円を描いた。
そんな危険な所に行くべきではなかったのに。,あなたは満足していないんでしょう。,ちょっと気になるんだけど。,あなたの車が好きです。,ベートーベンの音楽には強い魅力を感じる。,各部屋には大きな机が備えてある。,彼が今日の私を育ててくれた。,俺みたいな大人にはなるなよ。,私達が峠にさしかかる頃に雨になった。,これ自分で描いたの？。
生きるのは危険です。,彼らは有名な観光地の名を２つ挙げたが、私たちはまだそのどちらも訪れていない。,私がどう思っているか、本当に気になる？。,彼女がそこからが出てきた。,この本に何か魅力感じますか。,各ロボットには通話機が取り付けられています。,彼女はどうしても子供をもらって育てる気にはなれなかった。,トムはまだ大人じゃない。,病人はもう峠を越した。,彼女は一般の先生と比べればよい先生だ。
人々はハンググライディングは危険だと考えがちである。,ナイアガラの滝は世界有数の観光地として名高い。,私も気になるわ。,そこからスカイツリーが見えるんです。,パリは日本の女性にとってとても魅力のあるところだ。,彼女は階段を降りていった。,オーストラリアにぜひ行ってみたい。,大人になったらしてみたいことってある？。,コンサート会場はファンであふれていた。,その公園は一般の人々のために作られた。
が起ころうと、覚悟しておくべきだ。,モデルは魅力のある体をしていなければならない。,私は彼女の病気のことがとても気になる。,これはメイン・ストリートまでしか行かないんですが、そこから３１番に乗れますから。,テレビは彼には大きな魅力がある。,わたしの家には階段がふたつある。,ぜひ聞かせてください。,彼らは無事に、昨日ある島に上陸した。,春になると川がここであふれる。,私は一般の学生のことを言っているのであって、特定の学生のことを言っているのではない。
死ぬ覚悟でやれ。,ベートーベンの音楽には強い魅力を感じる。,どうして気になるの？。,そこから降りろ！。,高く登れば登るほどますます気温は下がる。,彼は階段をゆっくりと上った。,ぜひそれをやってみなさい。,毎年、日本には台風が上陸します。,彼の頭は新しいアイディアであふれている。,ロンドンは発展してヨーロッパの一般市場になった。
何が起ころうと、覚悟ができていると彼は私に言った。,この本に何か魅力感じますか。,この旅館は客の扱いがよい。,そこから市全体が見えます。,車の数がますます増えている。,階段から落ちたよ。,ぜひやってみなさい。,軍隊はギリシャに上陸した。,彼女の胸は喜びにあふれていた。,一般の国民は現状から見て、大きな変化を望んでいる。
何が起ころうとも、その覚悟はできています。,パリは日本の女性にとってとても魅力のあるところだ。,彼は彼らにその旅館に泊まるように言った。,高松塚古墳は、奈良県明日香村に存在する古墳。,彼の話はますます面白くなっていくでしょう。,彼らは階段を上がった。,イタリアにいるのだから、ぜひナポリをみなさい。,台風が関東地方に上陸した。,道路は人間であふれていた。,日本は工業化の結果急激な変貌を遂げた。
未知の語に出会った時には、辞書で調べなければならない。,テレビは彼には大きな魅力がある。,彼はその旅館に部屋を予約してくれた。,川は谷をながれている。,私はその絵がますます好きなってしまった。,回収対象のソニー製充電池は累計で７６５万９０００個となった。,持ち帰ります。,船長は頭にきて、乗組員に上陸の許可を与えなかった。,何が残っている？。,この映画は最悪です。
彼は未知の国々の事実を収集しながら世界中を旅行する。,その都市に入る道はすべて車で一杯である。,この旅館は露天風呂がすばらしいのよ。,谷は５００フィート先で狭くなっている。,彼はますます有名になった。,トムは夏祭りに参加した。,席に持ち帰って調べてやるよ。,弊社20周年の記念パーティーを開催しました。,チケットは残ってた？。,最悪の気分！。
ソフイーは未知の差し出し人からまた手紙が来るのを心待ちにしていた。,東京は世界で最も大きな都市の一つです。,あの旅館は家庭的だ。,その谷で金が見つかったといううわさがある。,円の価値が大きく上昇した。,トムは夏祭りに参加した。,汚さない限り、この本を持ち帰ってもいいですよ。,会社設立２０周年を記念してパーティーを開きました。,ポットにはほとんどコーヒーは残っていない。,もう２日連続で電車が遅れて、今週は最悪だったよ。
既知のことは未知のことと区別しなくてはならない。,シドニーはオーストラリアで最大の都市です。,お客様テーブルにライターがおわすれですよ。,そのおおきな谷には川が流れている。,学校を運営する費用が上昇し続けた。,今夜は外食にしようよ。,ミツバチは、においのサンプルを巣に持ち帰ることによって食糧のありかを伝える。,昨日私たちは結婚１０周年のお祝いをした。,ケーキを食べてしまったら手に残らない。,今日は最悪の一日でした。
船はボンベイに向けて出帆した。,東京は日本最大の都市です。,お客様を外に待たせておいてはいけないよ。,谷の間を川が流れている。,円はドルに対して１０％上昇した。,今夜は外食することにしたよ。,来週、根本さんか関口さんに、原本を持ち帰ってもらうように頼みます。,来月１０日に二人は結婚２０周年を迎えます。,水はかなり多く残っている。,最悪を覚悟している。
その船は明日午後３時に香港へ向けて出帆する。,サンフランシスコは非常に美しい都市である。,お客様が到着されました。,母はベッドに綺麗なシーツを敷いた。,土地の価格は毎年上昇している。,彼はよく土曜の夜に外食します。,彼は昨年北海道にいましたか。,今年タイ航空は５０周年記念を祝います。,湖畔にはかなり多くのホテルが有る。,希少野生動物をこの国に輸入することは厳禁されています。
その船はまさに出帆しようとしている。,トムはそこで見たものに驚き、魅了された。,ケンブリッジに向かうお客様、６番ホームへお進みください。,彼女はベッドにきれいなシーツを敷いた。,金の価格が上昇するのは確かである。,僕たちを外食に誘って下さい。,私は夏北海道に行きます。,私は店舗の二階に住んでいる。,彼は湖畔巡りの旅で我々を案内した。,この森には多くの野生動物がいます。
悪天候のため彼らは出帆できなかった。,彼女はそのチャイナドレスに魅了された。,お客様にご満足いただけるように努力しております。,机のしたにカーペットを敷いた。,そこで何をしたの？。,今夜外食にしてはどう？。,私は夏に北海道に行きます。,ようやく各店舗に監視カメラが設置されることになった。,我々はその夜湖畔のホテルに宿泊した。,いまにも絶滅しようとしている野生動物もいます。
天気さえよければ、船はいつでも出帆します。,彼女の美しさに魅了されずにいることは不可能だ。,ロシア全国を旅した。,床にカーペットを敷いた。,そこで大きなペリカンを見たよ。,この４人の若者が都内でルームシェアしている。,私は、北海道に行く。,この道路は二つの市を結んでいる。,湖畔の古い教会はとても美しい。,私たちは、野生動物を救わなくてはならない。
計画はまだ未定である。,一目で彼女に魅了された。,その報道は全国に行き渡った。,この川は流れが速い。,そこでトムを見た。,その記事は昨日記事解禁となった。,彼は北海道に行ってしまった。,彼女は髪をリボンで結んだ。,彼はウィンタースポーツに興味を示している。,この地域には野生動物が多い。
イベントの日付は未定です。,その美しい景色はあらゆる旅人を魅了する。,英語は全国に普及した。,時は、その中で釣をする流れである。,そこで何してるの？。,アユ釣りが解禁されました。,詳細を教えてください。,彼女は口を堅く結んだ。,我々の国ではウインタースポーツが盛んだ。,マルチブート環境のＰＣでは搭載ＯＳと同数のライセンスが必要ですか？。
彼の計画はまだ未定だ。,故国を一目みたいものだ。,リンカーンは、全国の奴隷を解放せよと命令した。,静かな流れは深い。,そこで彼女に会わなかった？。,鮎漁が解禁になった。,彼はディナーパーティーについて詳細な説明をした。,この道路は東京と大阪を結ぶ。,日本がウィンタースポーツに頭角を現す時が間もなく来るだろう。,大容量のＲＡＭが搭載されていると、メモリ不足を示すエラーメッセージが表示される。
我々の休暇の計画はまだ未定だ。,彼はうちの社員の中でも一頭地を抜く存在として一目置かれている。,支店は全国にまたがっている。,流れの静かな川は水が深い。,ジョンは関東地区、そして太郎は関西地区を担当している。,雨が降らない限り、フェスティバルは庭園で開催されるだろう。,彼は私に詳細を話してくれた。,私は箱を紙で包み、それをリボンで結んだ。,この街にはどこか他にも老舗のパン屋さんはありませんか？。,この上着を何か少し派手な物と組み合わせられませんか。
新工場の建設用地はまだ未定である。,帰る途中でお豆腐買ってきてよ。,私はそれを数ダース持っている。,その公園は全ての人に開放されています。,彼のアクセントから判断すると、彼は関西の出身だ。,どこか有名な庭園に行ったの？。,詳細が欲しい。,彼は夜になると考えが浮かぶと言った。,あそこでは多くのタイプの食品や雑貨を売っている。,仕事は順調にこなされた。
教育は未来への投資である。,悪いけどお豆腐買ってきてくれない？。,このホテルのベッド数は７００である。,その犬を開放しなさい。,彼は６月に東京を離れて関西に来る。,その庭園には沢山花がありますか？。,この事を詳細に説明する時間がありません。,船がやっと浮かんだ。,この旅館は客の扱いがよい。,彼女の仕事は順調だった。
私たちが世界の未来を考えることは大切だ。,エミリーは夕食に豆腐をたべた。,彼らは数の力で勝った。,このプールは一般開放されている。,彼は関西のアダルト産業に強い影響力を持っている。,彼らはその美しい庭園を眺めていた。,私はとても気分がさわやかだ。,彼にいい考えが浮かんだ。,彼は彼らにその旅館に泊まるように言った。,今のところ順調だ。
未来に何が起こるか知ることはできない。,帰る途中に豆腐を買ってきてください。,トムはさらに数ドル払わなければいけなかった。,この庭は一般に開放されています。,ほとんどの人は逸見氏が関西出身だとは知らない。,この門から庭園に入れる。,オレンジジュースを飲んだら気分がさわやかになった。,彼はうそをついているのだという考えが頭に浮かんだ。,彼はその旅館に部屋を予約してくれた。,ずっと順調だね。
トムは未来を変えた。,豆腐を食べます。,彼は会員数を２０に制限した。,婦人に開放されている職業は多い。,あなたと一緒に過ごすのが好き。,私は横浜で生まれました。,散歩して気分がさわやかだ。,いい考えが浮かんだよ。,この旅館は露天風呂がすばらしいのよ。,アメリカ経済は順調ですよ。
私たちは未来のために過去を学ぶ。,この電子辞書は携帯しやすいところが味噌です。,彼も大人になって、物事を総合的な視野で見られるようになった。,あちこちにヒナギクが群生している。,クリスマスはトムと過ごすの？。,横浜駅へ行くのにはこの道でいいのですか。,気分がさわやかだ。,気軽にして下さい。,あの旅館は家庭的だ。,私は彼のしたことを許せない。
カナダでは２０歳未満の飲酒が認められていません。,アイドルグループのうち1人は加工の感覚絶対ぶっ壊れてるよね。,工業区と商業区が一体となった総合的な開発区を目指しております。,この部屋用に新しいじゅうたんを買わなきゃいけない。,彼はインディアンとともに過ごしていた。,東京は横浜よりも大きい。,さわやかな秋となりました。,気軽にいこう。,これが最後だから。,神は存在しないなら何をすることも許されていると判断した。
輸入車は８％未満しか占めていない。,イチゴは加工されてジャムになります。,この授業を通して、日本語の総合的な力を養っていきます。,その床には厚いじゅうたんが敷いてある。,クリスマスはトムと一緒に過ごさないの？。,私たちは、仕事で横浜を訪れた。,私の家族は毎年イタリアに行きます。,どうぞお気軽に。,最後のチャンス！。,あなたのことをファーストネームで呼ぶ事をお許し下さい。
彼女が胸がすくような啖呵を切ました。,牛乳は加工されてバターやチーズになる。,総合的に見て、このたびの会議は有益で、目的を達したと言えると思います。,カーテンとじゅうたんはよくあっている。,私達はピクニックで楽しく過ごした。,私は横浜で育った。,彼は毎年海外へ行く。,気軽に何でも質問して下さい。,最後に食べ終わったのはトムだった。,私が生きている間は彼の事は決して許しません。
子供は入場できません。,ミルクはバターに加工される。,当社はアンケート入力、アンケート集計のお手伝いをする少数精鋭のベンチャーです。,新しいじゅうたんが欲しい。,これが最適な方法だ。,男は門のかげにたたずみその家をじっと見つめていた。,毎年たくさんの事故が発生する。,どんな質問でも私に気軽に尋ねてください。,その最後のコメントをした人は、出ていっていいですよ。,トムを許してやれよ。
我々は会への入場を許された。,あの食品は良くないです。,このアンケート、項目が多すぎて記入する気になれないよ。,この新しいカーテンはじゅうたんには似合わない。,彼はこの計画に最適である。,彼はアルプス山脈の夜明けの美しさをぼんやりとたたずんで見ていた。,彼らは毎年夏にキャンプに行きます。,橋は開通している。,最後はトムみたいになりたいのですか。,試合が始まるとすぐに、彼らは先制点をあげた。
入場無料。,あの食品はいいです。,Ａ社のアニュアルレポートは参考になる。,満開をチョイ過ぎた感はありましたが、それでも、美しい桜を満喫してきました。,確かに彼はその仕事に最適の人物だ。,彼女は城の廃墟の中にたたずんでいた。,彼が毎年海外へ行くというのは本当だ。,不通区間の開通の見込みはまだない。,夜がふけて疲れていたので、私は宿に泊まった。,あなたはもちろん私達の味方だと思った。
１６歳以下の子供は劇場には入場できません。,その食品はグルテンフリーです。,私は彼を高く評価している。,少女達は踊りを満喫した。,贈り物としても最適です。,彼女は髪を風になびかせて、たたずんでいた。,このサイトには、役立つ記事がたくさん掲載してある。,彼女は英語に堪能であった。,宿では昼食は出ません。,今回だけは君の味方をしよう。
我々は会への入場を許可された。,この食品は１０度以下で保存したほうがいい。,私は彼女をすごく評価した。,彼はよく風景を描く。,彼についてみんなの話から判断すると、私は彼こそその役職に最適だと思う。,家の地階に問題があるようだ。,ボストンは今暑いの？。,今日英語が堪能であることは有利な技能である。,この世は仮の宿に過ぎない。,何がおきようと私はあなたの味方です。
彼は生き方を改めた。,妻は食品を買いに毎日村のマーケットに出かける。,私は彼女を高く評価した。,彼は外の風景にあらゆる注意を向けた。,彼らが共にとったあの夕食は美味だった。,彼は座って窓の外を眺めていました。,外は暑い？。,彼が英語に堪能であれば私は彼を雇います。,私たちはその山のふもとの宿に泊まった。,私はもちろんあなたが私たちの味方だと思っていた。
