Script.EP2,Meaning.EP2,Script.EP3,Meaning.EP3,Script.EP4,Meaning.EP4,Script.EP5,Meaning.EP5,Script.EP6,Meaning.EP6,Script.EP7,Meaning.EP7,Script.EP8,Meaning.EP8,Script.EP9,Meaning.EP9,Script.EP10,Meaning.EP10,Script.EP11,Meaning.EP11,Script.EP12,Meaning.EP12
1人キャンプの時間脅かされるのが何かなんか嫌で,I don't like the idea of being threatened by the time I'm camping alone.,,,温泉に使った客を、完全に落としにかかる、悪魔の刺客たち,These devilish assassins are completely trying to get rid of the customers who used the hot spring.,一人で行こう！,I'll go alone!,うん、志摩さんもキャンプ楽しんできてな,"Shima, have fun at camp.",ほら,Here.,そうやね、マットは大まかに分けると,"Well, mats can be roughly divided into",そういえばまだほうとう作ったことなかったわね,"By the way, I've never made Houtou before.",コミコミ30000円の焚火台セット買おうとしたんだがや、最初はバイト代入った勢いで,"I was going to buy a fire pit set for 30,000 yen at Comic-Con.",ありがとう、いただくわ,Thank you. I'll have some.,では、掛かれ,Let's get to it.
つい顔に出てしまった,I just let it show on my face.,,,ここで一度くつろいだら、二度と起きては帰れまい,"Once you relax here, you'll never get up and leave again.",怖いよー,I'm scared!,姉ちゃん、寒い！,"Sis, it's cold!",本当だ！,It's true!,フォームタイプ,Foam type,食べたことないから楽しみだね,"I've never had it, so I'm looking forward to it.",コミコミ30000円の焚火台セット買おうとしたんだが,"I was going to buy a fire pit set for 30,000 yen at Comic-Con.",何入れてるんですか、先生？,"What do you have in there, doctor?",おー,Oh!
ちょっと悪いことしたな,I'm sorry about that.,,,せやな,I see.,暗い所抜けた,I'm out of the dark.,メンチカツ臭が車内に充満するのよ,The smell of menchikatsu fills the car.,リンちゃん！,Lin!,エアータイプ,Air type,そうねえ,I guess so.,ポチろうとした瞬間に鼻血が出てな,"The moment I tried to buy it, my nose started bleeding.",ココアには意外とラム酒が合うのよ,Rum goes surprisingly well with cocoa.,終わった,It's done.
リンちゃん！もう、分かったって,Lin! I get it now.,,,お尻に根が張るなんてレベルやないわ,It's not like I'm getting roots up my butt.,りんちゃん待たせてるから早くしないと,"Rin's waiting for me, so I'd better hurry",あおいちゃん、今日は上がり？,"Aoi, you're leaving today?",寒いから、やだ,It's cold. I don't want to.,インフレータブルタイプ,Inflatable type,あれ、なでしこ母の分も作ることになってないか,Aren't we supposed to make one for Nadeshiko's mother too?,高すぎて体が拒絶反応起こしたんか,I guess it was too expensive and my body rejected it.,温まるわ！,It's warming!,部室狭いから一瞬だったね,It only took a second because the room's so small.
リンちゃん,Lin.,,,アドレス,Address.,ついた,Here we are.,はい、お先に失礼します,"Yes, I'll leave you guys to it.",帰り一緒に乗ろうよ,Let's ride home together.,の3種類があるんよ,There are three types.,やー、よく寝た,I slept well.,で、これにしたって訳,So I went with this.,起き抜けにいきなり,I just woke up.,こういう時は助かるわ,That's a good thing.
だからわかったって,I told you I get it.,,,霧ヶ峰カメラ,Kirigamine Camera,よし,Okay.,お疲れさま！,Good work!,荷物載せたら、二人乗れなくないか,There's no room for both of us with all the luggage.,それぞれいろんな特徴あるけど,Each type has its own characteristics.,あ、お父さん、おはよう,"Good morning, Dad.",十分やで,That's enough.,これがグビ姉,This is Sister Gubi.,後一人部員来たら大きい所に移れるんだっけ？,"If we get one more member, we can move to a bigger place, right?"
やっぱりリンちゃんだ,It's Rin!,,,リンちゃんだこれ,That's Rin.,やっときた。何なんだ、いったい,I'm finally here. What the hell is this?,明日もお願いね,See you tomorrow.,2往復すれば？,Why don't we make two round trips?,インフレータブルはコンパクトにたためて一番寝心地いいらしい,I've heard that the inflatable type is the most comfortable because it can be folded compactly.,風邪移しちゃってごめんね,I'm sorry I gave you a cold.,ね、斎藤さん一泊二日でよかったの？,"Hey, Saito-san, are you sure it was enough for one night and two days?",四尾連湖で会ったときこんな感じだったよね,She looked like this when we met at Lake Yotsuya.,その通り,That's right.
なんでこの所に？,Why are you here?,,,どうした？,What's wrong?,寒い,It's cold.,はい,See you tomorrow.,やだ,No.,まあ、うちらは結局600円の銀マットしか買えへんのやけどな,"Well, we can only afford a 600 yen silver mat after all.",いやー、おかげで昼のバラエティが見放題だ,"Thanks to you, I can watch all the noon variety shows I want.",寝袋持ってないって,He doesn't have a sleeping bag.,ね,Yeah.,実は、クリキャンの時、斎藤を野クルに勧誘してみたのだよ,"Actually, I tried to recruit Saito to the wild club during the Crunch."
斉藤さんが教えてくれたんだ,Mr. Saito told me.,,,リンちゃんが、リンちゃんがテレビに映っているんだよ,"Rin-chan, Rin-chan is on TV!",きれいだね,It's beautiful.,あ、あきもう着いたや,"Ah, Akiko's already here.",最後は、炭火焼ハンバーグだ,We'll end up with charcoal hamburgers.,でもそんなにマットって必要かな,But do we really need so many mats?,おや、何か作ってるんか,"Oh, you're making something?",泊まりの方が楽しそうだから注文しちゃった,"It seemed more fun to stay overnight, so I ordered one.",あ、見て,"Oh, look.",そうなの？,Is that so?
リン、今日ここでキャンプしてるみたいだよー,"Lin, I think they're camping here today.",,,しまさん今霧ケ峰におるんね,"Shima, you're in Kirigamine.",きれいだね,It's beautiful.,どんな感じなん？,What's it like?,私一口だけでいい,I only want one bite.,寝袋ふかふかで寝心地いいし,The sleeping bag is soft and comfortable.,今、梨っ子あきちゃんが本場の絶品ほうとう作ってるんだよ,"Aki-chan, the pearling girl, is making authentic Hoto.",私寒いの苦手だから、これにしたんだけど,"I don't like the cold, so I chose this one.",赤富士,Red Fuji.,や、まだまだ帰宅部を辞められないよ,"Well, I'm not ready to quit the homecoming club yet."
またあいつか,That guy again?,,,霧ケ峰ってどこにあるの？,Where's Kirigamine?,へやキャン,Heya camp!,結構広いぞ！,It's pretty big!,食べたぁ,I ate.,地面からの冷気を防ぐ効果もあるんだよ,It also prevents cold air from the ground.,おー！ほうとうか！,Oh! Houtou!,どれどれ？,Which one?,きれい,It's beautiful.,あっさり断られたけどな,"He turned me down pretty easily, though."
晩御飯もう食べちゃった？,Have you eaten dinner yet?,,,長野県の諏訪湖の近くにある高原だな,It's a plateau near Suwa Lake in Nagano Prefecture.,このあいだの野クルキャンプ楽しかったよな！,"We had fun at the wild camp the other day, didn't we?",キャンプサイトもたくさんある！,There are lots of campsites!,食べ過ぎた,I ate too much.,冬キャンプでマットは必需品だぞ,A mat is a necessity for winter camping.,会社の人に聞いたんだけどな,I heard about it from someone at work.,45000円！高っ！,"45,000 yen! That's expensive!",きれいやな,It's beautiful.,志摩リンと同じく一筋縄じゃいかない女だぜ,"Just like Shima Rin, she's not a straightforward girl."
えっと、まだだけど,"Uh, no, not yet.",,,長野か、そんな遠くまで,"Nagano, such a faraway place!",せやな！,"Yeah, right!",下見たのむで,Give me a tour.,炭火はまだ使えるな,The coals are still working.,せやな、イーストウッドのときは底冷えして起きてもうたし,"Well, when I was in Eastwood, I woke up with a chill in my stomach.",地元の人が家で作るほうとうはドロドロしててお店のやつとはまた一味違った美味しさがあるらしいぞー,I've heard that the Houtou that the locals make at home is thicker and more delicious than the ones in the stores.,アウトドアはいい経験になるからって、お父さんが協力してくれて,My dad said it would be a good experience for me to be outdoors.,さて、暗くなる前に夕飯の支度始めるで,"Well, let's start cooking dinner before it gets dark.",来年もよろしくな,See you next year.
よかった！,Thank goodness!,,,今めっちゃ寒いはずだけど大丈夫なのか,"It's supposed to be really cold right now, but are you okay?",見て見て！,"Look, look!",まかせろ！,I got it!,火まだまだ消えそうにないね,The fire's not going out yet.,さむうー,It's cold.,楽しみだね,I'm looking forward to it.,いいなー,That's nice.,いぬ子はん（=さん、京都弁）今晩はええお肉で何作りはるんどす（つくるんですか、京都弁）？,"Inuko-han (=san, Kyoto dialect), what are you going to make with the good meat this evening?",2人とも大晦日までバイト？,You're both working until New Year's Eve?
リンちゃん、今からお鍋,"Lin, let's do hot pot now.",,,さすがソロキャン少女やね,You're a solo-camping girl!,ん？,Hmm?,いいじゃん！,That's great!,備長炭は特に持ちがいいらしい,Binchotan charcoal is said to be particularly long-lasting.,かったかな？,Was it cold?,気づいたら,Next thing I know.,あき、鼻血出とる,"Aki, your nose is bleeding!",せやね、今日はクリスマスっちゅう（=という、口語）ことで,"Well, today is Christmas, so",掻き入れ時やからな,It's a busy time.
やろう,Let's do it.,,,にしてもライブカメラで返事なんて、おもろいことすんねー,But it's interesting that you answered with a live camera.,キャンプの楽しい思い出をすぐ見られるように、お姉ちゃんにプリントアウトしてもらいました,I asked my sister to print it out so I can look at the fun memories of camp right away!,次の野クルキャンプ有力な候補地だな,This is a good candidate for our next wilderness camping trip.,これを種火にして、薪を並べれば,"We can use this as a spark, and line it with firewood.",私はぐっすり眠れたけど,I slept just fine.,一家全員分作ることになっとるがな,I'm going to make enough for the whole family.,あと持ち物はテントはうちらのと志摩さんのがあるから,We've got our tent and Shima's.,すき焼きや,Sukiyaki.,こちとら三が日までフル出勤だぜ,We'll be working until the New Year's Eve.
部屋キャン！野クルに新人が入った,Room cancel! There's a new member in the wild club.,,,んだね,I guess so.,おお！,Oh!,年季の入ったワンポールテント、たき火台に木製ローチェア,"An old one-pole tent, a fire pit, and wooden low chairs.",備長炭は優秀だねえ,Binchotan is excellent.,本当強い子だな、お前,"You're a real strong girl, aren't you?",どうする、ハードル上がったこの状況で適当なもん出していいのか？,What should I do? Is it okay to serve something random in this situation where the bar has been raised?,斎藤さんはさっきの寝袋と着替えくらいやな,Saito-san just needs the sleeping bag and a change of clothes.,すき焼き？,Sukiyaki?,そっか,I see.
各務原なでしこです,I'm Nadeshiko Kakamigahara.,,,返事がないけど,She hasn't responded.,これを部室の壁に張っていくんだよ！,We're going to hang this on the wall in the club room!,なんかコーヒーのCMとかに出てきそうだな,It's like something out of a coffee commercial or something.,一粒で二度おいしい,Twice the goodness in one piece.,なでしこ強い子元気な子やで,"Nadeshiko, you're a strong girl... and a healthy girl.",いや、待て、私だって山梨県民、県民の本能が本物のほうとうの味しているはず,"No, wait, I'm from Yamanashi too, my instincts tell me that I should be able to taste the real Houtou!",わかった,I understand.,まず、鍋に牛脂を広げ,"First, spread beef fat in a pan.",まだバイト見つかってないん？,You haven't found a job yet?
よろこべ、お前ら！,"Yorokobe, boys!",,,見えてる、よな？,"You can see me, right?",いいねぇ！,Nice!,肉上手そう！,The meat looks good!,ねえ、なでしこは山梨来る前はどこに住んでたの？,"Where did you live before you came to Yamanashi, Nadeshiko?",ただいま,I'm home.,私にだって本場の激旨ほうとうが作れるはずだ,I'm sure I can make the real Houtou!,リンちゃん来る気になって、よかったよね,"I'm glad you decided to come, right, Rin?",牛肉に軽く火を通す,Lightly heat the beef.,うん,No.
クッキーはなかったが桔梗信玄餅があったぞ！,"They didn't have cookies, but they did have Kikyo Shingen Mochi!",,,へやキャン,Heya-can.,とりあえず、ふもとキャンプの写真を張って置きました,"For now, I've put up the pictures of the Fumoto Camp.",スキレット料理っていいよな,I love skillet cooking.,私？浜松の端っこの町浜名湖のすぐ近くだよ,"Me? A town on the edge of Hamamatsu, right near Lake Hamana.",おかえりなさい,Welcome home.,梨っ子あきちゃんの30分クッキング,Aki-chan's 30-minute cooking,だね,Yeah.,砂糖、醤油、酒を入れて、ひと煮立ち,"Add sugar, soy sauce, and sake, and bring to a boil.",求人、甲府ばっかだしなあ,All the jobs are in Kofu.
そっちがある方が不思議や,I'm surprised they even have that.,,,テント設営の練習,Practicing setting up the tent.,どこに張ってあるん？,Where are you putting it up?,5割増しで旨そうに見えるし、お洒落だし,"It looks 50% more delicious, and it's stylish.",天気がいいと、あそこからでも富士山見えるんだ,"On a good day, you can see Mount Fuji from there.",今日バイトだから、また出かけるね,"I have a part-time job today, so I'll be going out again.",今週のレシピはほうとう,This week's recipe is Houtou!,焚き火台買ったぜ、しまリン,"I bought a fire pit, Shimarin.",しいたけ、えのき、ネギ、焼き豆腐、しらたき、春菊を乗せたらふたをしてしばし待つ,"Add shiitake mushrooms, enoki mushrooms, leeks, grilled tofu, shirataki mushrooms, and garland chrysanthemums, cover with a lid, and wait a while.",自分のお金でたくさん道具買ってキャンプしたいのに,I want to buy a lot of gear with my own money and go camping.
それ食べたことある！,I've had those before!,,,薪割りの練習,Practice chopping wood.,あそこだよ。これからたくさん撮って、どんどん張ろうね,It's over there. Let's take lots of pictures and put them up.,肉、食うかい？,Do you want some meat?,ちっちゃいけど,Though it's tiny.,そうなの,Okay.,量は適当,The quantity is random.,お、すごい軽くて人気のやつじゃん,It's really light and popular.,正統派すき焼きってレシピだね,This is a traditional sukiyaki recipe.,一体あたしゃいつになったら働けるんじゃろう？,When am I going to get a job?
きな粉と黒蜜おいしいの,I've had them before! They're delicious with kinako and kuromitsu.,,,椅子でくつろぐ練習,Practice relaxing in a chair,端からびっちり敷きつめる気や,They're going to spread it all out from the edge.,いいんですか,You sure?,だから本栖湖で初めて大きな富士山見れたときは嬉しかったな,That's why I was so happy when I saw Mt. Fuji for the first time at Lake Motosu,気を付けてね,Take care.,まず、ニンジン、ジャガイモ、サトイモ、梨を鍋に入れて,"First, put the carrots, potatoes, taro, and pears in a pot.",クリキャンはこいつで焚き火やるぜ！,We'll use it to build a fire at Kuricamp!,関西風やで,Kansai style.,リンちゃんだ,It's Rin.
でもちょっと食べにくいんだよねーこれ,"But it's a little hard to eat, isn't it?",,,ハンモックの練習,Practicing in a hammock,,,いただきます,I'll have some.,あれ、山梨くるとき清水の当たりで見えなかった,"When we were coming to Yamanashi, we couldn't see it from Shimizu",なでしこか,Nadeshiko.,グラグラ煮ていきます,Put them in a pot and let them simmer for a while.,リンちゃん、キャンプ場どこかいいとこないかな？なかなか決まらなくて,"Lin, do you know any good campsites? I can't decide.",あき、スキレットでこの玉ねぎ炒めといてくれへん？,"Aki, can you fry these onions in the skillet?",なでしこ、バイトまださがしてる？,"Nadeshiko, are you still looking for a job?"
もちに黒みつを絡めようとして,I always end up spilling kinako (soybean flour) on the mochi when I try to dip it in kokumitsu.,,,たき火を囲んで談笑,Laughing around the bonfire,,,うまい！,It's good!,助手席で寝ちゃって,I fell asleep in the passenger seat.,かりぶー？,Karibu?,野菜がほどほどに柔らかくなったら,When the vegetables are moderately soft,富士山見えたら嬉しいんだけど,I'd be happy with a view of Mt.,オリーブオイルとにんにくで,with olive oil and garlic.,うん,"Yes, I am."
いつもきな粉零しちゃうんだよ、私,I always end up spilling soybean flour on it.,,,そして、時折富士山を眺める練習,And occasionally practicing looking at Mt.,,,渋いじいさんだったな,He was a stern old man.,だから頑張って自転車漕いで見に行ったんだよ,So I pedaled my bicycle to see it.,あの店か,That store?,粉が付いたままの麺を投入。粉付きのまま煮ることによりスープのとろみが増します,"When the vegetables are moderately tender, add the noodles with the flour still attached. Simmering the noodles with the flour will make the soup thicker.",あとできれば芝生のとこで,I'd also like a place with grass if possible.,なんかもう一品作んのか？,Are you going to make something else?,ちょうどよかった,Just in time.
まだまだだな、各務原,"You're not ready yet, Kakamigahara.",,,なんで私だけ道具役なの？,Why am I the only tool in this group?,,,肉めっちゃ旨かったし,The meat was so good.,じゃ、来るとき富士山見てたら本栖湖は来てなかったかも知れないのか,"So if I had seen Mt. Fuji when I came, I might not have come to Lake Motosu?",ー月に三回キャンプして,We camp there three times a month.,しばらく煮込んだら、残りの具材を投入してさらに煮込み甲州味噌を入れてさらにさらに煮込みます,"After the soup has been simmering for a while, add the rest of the ingredients and continue to simmer, then add the Koshu miso and continue to simmer.",近くに温泉もあるといいなぁ,And a hot spring nearby would be nice.,まあ、そんなとこや,That's about it.,では、続きは斎藤から,Let's continue from Saito.
そういうときはこうするんだぜ！もみもみもみ…,"In that case, do this! Momi-momi-momi...",,,おもろいからやで,Because it's fun!,,,スキレット、買っちゃおうかな,I think I'll buy a skillet.,リンさんや眠くなってきたのかね,"Are you getting sleepy, Lin?",今日は用品店か？,And today you're at the supply store?,ただいま,I'm home.,知ってるかも,Maybe I know one.,しかし、めちゃめちゃ冷え込んできたな,But it's getting really cold.,なでしこちゃん、私年賀状の短期バイトをやるんだけど,"Nadeshiko-chan, I'm doing a short-term job as a New Year's card writer."
そんなやり方あったんだ,I didn't know there was such a thing.,,,,,,,これどっち？,Which one is this?,だいぶ,A lot.,一気にアウトドアに嵌ったな、あいつ,"He's really getting into the outdoors, isn't he?",何作ってるの？,What are you making?,せや、ご飯何作ろうか,"So, what should we make for dinner?",高原やしな,We're in the highlands.,もし良かったら一緒にどうかな？,Would you like to join me?
豆知識やなあ,Trivia.,,,,,,,えっと、確か右,"Right, I think.",リンちゃん、私もそっちのテントで寝てもいいですか？,"Rin, can I sleep in that tent too?",しかし、この間のキャンプ飯はうまかった,But that camping food the other night was delicious.,また増えてるし,There's more.,なんかクリスマスっぽいキャン飯にしたいよな,I'd like to make something Christmasy.,いま気温0度だって？,"What is it, zero degrees?",配達の方ならまだ空きがあるみたいだよ,There are still some openings in the delivery department.
うまー！黒みつときな粉が絶妙に混ざりあって,Yummy! The blackstrap and soybean flour mix perfectly.,,,,,,,犬ダッシュ,Dog Dash!,狭いから、自分のテントで寝ろよ,It's too small. You should sleep in your own tent.,次、どうしようかな,I don't know what I'm gonna do next.,ここがわんこ寺の光前寺か,So this is the Kosenji Temple of Doggie Temple?,そうだよね,"Yeah, I think so.",こうすると温いですぞ,It's warmer like this.,やるやるやる,I'll do it! I'll do it!
最高だな,It's perfect.,,,,,,,ここが四尾連湖か！,So this is Lake Superior!,牛のお化け出たら怖いし,I'm scared of the cow ghost.,やっぱ、キャンプ椅子いいよな,I think the camp chair is a good idea.,でけえ,It's huge!,せやな,I guess so.,出たな、怪人ブランケット,"There it is, the monster blanket.",いきなりどうした？,What's going on?
あれ...もうない,It's... It's gone.,,,,,,,すごい、一面黄色だ,"Wow, it's all yellow!",そんなのファンタジーだ、ファンタジー,That's a fantasy. A fantasy.,せやな,Yeah.,たまにはこういうとこ来るのも悪くないな,It's not bad to come to a place like this once in a while.,ねー、クリスマスっぽいといえば、プレゼント交換やらないの？,"Hey, speaking of Christmasy, aren't we going to do a gift exchange?",勢力を拡大する,The Secret Society Blanket is expanding its reach.,えなちゃんがバイト紹介してくれるって,Ena-chan said she'd introduce me to a job.
食べ過ぎだろ,You've eaten too much.,,,,,,,キャンプに来られた方ですか？,Are you here for camping?,そうだ、これ,"Yes, here.",座るっていうより,Rather than sitting on it.,え、出んの？境内に？,Are they coming out? In the temple grounds?,プレゼント交換,A gift exchange?,秘密結社ブランケット,"The secret society, Blanket.",おおお！,"Oh, wow!"
大型新人やな,You're a big newcomer.,,,,,,,はい、予約した各務原です、こんにちは,"Yes, I'm from Kakamigahara, where I made a reservation. Hello.",化粧水？,Lotion?,うまるって感じがええよな、これ,"It's more like a couch, right?",で、祭られてるわんこはどこだ？,And where's the dog that's being worshipped?,確かに、今のままやとクリスマスにやるだけで普通のキャンプや,"If we don't, we'll just do it at Christmas, and it'll be a normal camping trip.",そろそろ頃合やな,It's about time.,よかったな、なでしこちゃん,"I'm so happy for you, Nadeshiko."
,,,,,,,,こんにちは,Hello.,焚火で顔乾燥しているから、付けてた方がいいよ,You should put some on your face. The fire's drying it out.,快適過ぎだよね,It's too comfortable.,いかつい系だったか？,Is he a big guy?,私プレゼント買ったら、キャンプするお金が・・・,"If I buy gifts, I won't have enough money for camping...",できたで（=できたよ、関西弁）晩ご飯,Dinner's ready.,うん、頑張るよ,I'll do my best.
,,,,,,,,じゃ、あちらのほうで受付をお願いします,Please go over there and check in.,確かに,Sure.,あたし、バイト代入ったらキャンプ椅子買うんだ,I'm going to buy a camp chair when I get paid.,まあ、お寺だしな,"Well, it's a temple.",まあ、私もバイト代まだやし,"Well, I haven't paid for my part-time job yet either.",おおお,Oh!,よし！,Okay!
,,,,,,,,お二人ともテント泊でよろしいですか？,Are you sure you both want to stay in tents?,おやすみ,Good night.,死亡フラグやめいや,That's a death flag.,霊犬早太郎。昔静岡のとある村で悪さをしていた化け猿退治のオファーを受け、はるばる信州から倒しに行ったというベビーフェイスわんこ,He's a spirit dog named Sattaro. He is a baby-faced dog who came all the way from Shinshu to defeat a monster monkey that had been misbehaving in a village in Shizuoka.,斎藤、本当のクリスマスプレゼントはな皆の心の中にあるものなんだぜ,"Saito, the real Christmas present is what's in everyone's heart.",それでは、いただきます,Let's eat!,それじゃみんなで,Let's celebrate together.
,,,,,,,,はい、そうです,"Yes, we are.",なでしこ、,"Hey, Nadeshiko.",ご飯食べたらお風呂に入るんだ,"After I eat, I'm going to take a bath.",静岡では悉平太郎の名で親しまれているとかなんとか,"In Shizuoka, he's known as Siddhartha.",いい話風に言うても騙されへんで,Don't be fooled by my good-natured talk.,まずはえのきとねぎ,"First, enoki mushrooms and green onions.",祝杯だ,Let's celebrate.
,,,,,,,,サイトは対岸にあって、車は入れませんので、湖の周りを歩いて行ってください,"The site is on the other side of the lake, no cars allowed, so please walk around the lake.",キャンプ誘ってくれてありがとう,Thank you for inviting me camping.,それで死んだら死にきれわ,"If I die from that, I'm dead.",どうぞ安らかに,May he rest in peace.,せや、私、お肉をプレゼントにしても,"Okay, I'll take meat as a present.",うむ、肉の味がよく染み込んでいて,"Mmm, the flavor of the meat is soaked up well.",おー,Ooh!
,,,,,,,,あそこの白いテントが見える辺りです,You can see the white tents over there.,今度は私から誘うよ,"Next time, I'll invite you.",てかアウトドアってリッチな趣味だよな,"You know, being outdoors is a rich hobby.",そうだ、この近くに温泉あるか,"Oh, is there a hot spring nearby?",な、ずるいぞ、いぬ子,"That's not fair, Inuko.",うまい,It's delicious!,ではここに連絡先と名前を書いてください,"Now, please write your name and contact information here."
,,,,,,,,入口の所にある荷車は自由に使ってくださいね,Please feel free to use the carts at the entrance.,水分摂りすぎた,I drank too much water.,さっきのテントなんてうちらのと３桁違うぜ,That tent you just bought is three digits different from ours.,なでしこたち聞いておくか,I'll ask the Nadeshiko!,肉ー、お肉,Meat. Meat.,次は焼き豆腐,"Next, grilled tofu.",はい,Okay.
,,,,,,,,わかりました,"Yes, sir.",トイレ,Toilet.,まあ、あきもせいぜいバイト頑張らな,"Well, Aki, you'd better work hard at your part-time job.",かわいい,Cute!,面白い子たちだな,They're funny.,これもうまい,This is also delicious!,チェックアウトは明日朝1０時,Check out tomorrow morning at 10:00.
,,,,,,,,よいしょ,Here we go.,きれい,Clean.,そういえば、あきちゃんってどこでバイトしてるの？,"By the way, where do you work, Aki?",でも、500円もするのか君たち,"But they cost 500 yen, don't they?",そうだ、プレゼントの代わりにおもてなしするのはどうかな？,How about we treat them to something instead of a gift?,しっかりとした食感で、やはりすき焼きには焼き豆腐だそしていよいよ、牛肉、春菊を添えて、いい肉、いただきます,"It has a firm texture, and after all, grilled tofu is the best choice for sukiyaki.",薪は林の中のものを自由に使ってください,Feel free to use the firewood in the woods.
,,,,,,,,そっち荷物全部のる？,Will all the luggage fit in that way?,麓も、高ボッチもよかったけど,"The base camp and the high botch camp were nice, but",犬子が働いてるスーパーの隣だよ,It's next to the supermarket where Inuko works.,ありがとうございました,Thank you very much.,おもてなし？,Hospitality?,きめ細やかでしっとりとした牛肉と、つゆを十分に吸った春菊のほのかな苦味,"The beef is fine and moist, and the garland chrysanthemum soaks up the broth with a hint of bitterness.",わかりました,"Yes, sir."
,,,,,,,,ギリギリかな,Just barely.,やっぱり湖畔のキャンプが好きだな,But I really like camping by the lake.,酒屋さんやな,It's a liquor store.,負けたぜ,We lost!,例えば、あおいちゃんはお肉を使った料理でみんなをおもてなし,"For example, Aoi-chan will treat everyone to a meat-based meal.",そして卵のまろやかさがマッチして、うまい、ありがとう、牛,and the mildness of the egg.,一二三四二二三四,"One, two, three, four, two, three, four."
,,,,,,,,じゃ、行ってくるね、お姉ちゃん,"I'll see you later, sis.",本当に出た、本当に出た,It really came out. It really came out.,えええ、そうだったんだ,"Oh yeah, I didn't know that.",この犬どもめ,You dogs!,私は次の日朝ご飯を作ってもてなすとか,I could cook breakfast for them the next day.,んもおー,"Thank you, beef!",痛,Ouch.
,,,,,,,,うん、いってらっしゃい,Have a good day.,リンちゃん！リンちゃん！,Lin! Rin-chan!,バイトしたら、私にも買えるかな,I wonder if I can get one if I work part-time.,小吉,Shokichi,それだったら、家から食材持ってくればいいし,"That way, you can bring the ingredients from home.",肉超うめー,The meat is so good!,よし,Good.
,,,,,,,,明日のお昼ごろ来るから起きてなさいよ,"I'll be back tomorrow around noon, so stay awake.",へやキャン,Heya camp!,そうだ、バイトで思い出した,"That's right, the part-time job reminded me.",まあ、そんなもんか,That's about right.,おおお！,Oh!,すっごくおいしいよ、あおいちゃん,"It's so delicious, Aoi!",今日、バイト？,Do you have a job today?
,,,,,,,,わかってるよ,"I know, I know.",我が野クルは、大々的に部員募集をすることにします,Our wild crew is going to recruit members in a big way!,新しい歴史先生,New history teacher.,犬みくじかわいい！,Dog fortune is cute!,キャンプでできる遊び考えてくるとか？,Maybe you can come up with some fun things to do at camp?,どういたしまして,You're welcome.,ううん,No.
,,,,,,,,夜は冷えるから気をつけてね、りんちゃん,"It gets cold at night, so be careful, Rin.",急にどうした？,What's with you all of a sudden?,鳥羽先生のこと？,You mean Toba Sensei?,こっちはあきちゃんが作ってくれたほうのうで遅めのお昼だよー！,I'm having a late lunch with Hounou that Aki-chan made for me!,それありやな,That's a good idea.,反応がバッチリ別れとるなー,Their reactions are perfectly separated.,実はソロキャンしてるんだ,I'm actually solo-camping.
,,,,,,,,はい、ありがとうございました,Thank you very much.,いままで募集なんかせえへんかったやん,We've never recruited before.,そうそう,That's right.,なかなかうまそうだ,Looks pretty good!,クリスマス気分に浸れるおもてなしとか？,Like a Christmas treat?,どうしたんです、先生？,"What's the matter, sensei?",え、そうなんだ,"Oh, really?"
,,,,,,,,行ってきます,I'm off.,もう狭い部室なんてうんざりなんだよ,I'm sick of cramped club rooms.,優しそうな先生だよね,She seems like a nice teacher.,やるじゃん、大垣,"Nice work, Ogaki!",いいね,I like that.,すき焼きに合う日本酒、忘れちゃった,I forgot which sake goes best with sukiyaki.,リンちゃんは？,"What about you, Lin?"
,,,,,,,,紅葉きれいだね、りんちゃん,"The autumn leaves are beautiful, Rin.",部員増やして、こんな掃き溜めから抜け出すんや,Let's get more members and get out of this cesspool.,きれいだし,She's pretty too.,おいしい！もちもちしてうどんとは別の食べ物だよ！,Delicious! It's glutinous and different from udon!,"ー人はみんなのために、みんなは一人のために、oneforall,allinoneだよ","One for all, all for one, oneforall,allinone.",あ、そうですか,"Oh, I see.",私もソロ,I'm solo too.
,,,,,,,,教えてくれたあきちゃんに感謝だよ,Thanks to Aki-chan for telling me about it.,掃き溜め言うな,Don't call it a cesspool.,あの先生うちのバイト先で「グビ姉」ってアダ名付けられてんだよ、実は,"She's nicknamed ""Sister Gubi"" at my work.",あきちゃん、ほうとう最高だよ,"Aki-chan, Houtou is the best!","あれ、oneforall,oneononeだっけ？","Oh, it's oneforall,oneonone?",なあ、いぬ子、どうして晩飯すき焼きなんだ？,"Hey, Inuko, why sukiyaki for dinner?",今キャンプ場に着いたとこ,I just got to the campground.
,,,,,,,,丁度見頃みたいだしね,It's just about time to see them.,何かアイデアあるの？,What do you have in mind?,グビ姉？,Gubi-sister?,あったりめーよ,Of course it is.,oneonone?,Oneonone?,ん、実はな・・・,"Well, actually...",どこのキャンプ場？,What campground?
,,,,,,,,なでしこのお姉さん優しいね,"You're so kind, Nadeshiko.",野クルのゆるキャラを作って,Make a character for the club.,毎日欠かさず夕方にフラッと現れ、,She shows up every day in the evening without fail.,プロのレシピ通りだからな,It's a professional recipe.,Alloneone?,Alloneone?,牛肉のトマト煮,Beef stewed in tomatoes.,それは秘密です,That's a secret.
